broad_sample	broad_id	pert_iname	InChIKey14	moa	target	broad_date	clinical_phase	alternative_moa	alternative_target
BRD-A05821830-341-01-5	BRD-A05821830	docetaxel	ZDZOTLJHXYCWBA	tubulin polymerization inhibitor	BCL2|MAP2|MAP4|MAPT|NR1I2|TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8	broad_id_20170327	Launched		
BRD-A06916187-001-02-9	BRD-A06916187	CPI-613	ZYRLHJIMTROTBO	pyruvate dehydrogenase inhibitor	PDHA1	broad_id_20170327	Phase 3		
BRD-A06935312-001-04-3	BRD-A06935312	fusidic-acid	IECPWNUMDGFDKC	bacterial 30S ribosomal subunit inhibitor		broad_id_20170327	Launched		
BRD-A07395371-003-10-0	BRD-A07395371	esmolol	AQNDDEOPVVGCPG	adrenergic receptor antagonist	ADRB1	broad_id_20170327	Launched		
BRD-A07440155-003-25-4	BRD-A07440155	labetalol	SGUAFYQXFOLMHL	adrenergic receptor antagonist	ADRA1D|ADRB1|ADRB2	broad_id_20170327	Launched		
BRD-A07563059-035-01-3	BRD-A07563059	bopindolol	UUOJIACWOAYWEZ	adrenergic receptor antagonist		broad_id_20170327	Launched		
BRD-A07704283-001-01-3	BRD-A07704283	isofloxythepin	XDBMBHVYXPBOPL	dopamine receptor antagonist		broad_id_20170327	Phase 2		
BRD-A07815743-001-01-1	BRD-A07815743	kakonein	HKEAFJYKMMKDOR	GABA receptor antagonist|serotonin receptor antagonist		broad_id_20170327	Phase 2	serotonin receptor antagonist	nan
BRD-A07986123-001-02-8	BRD-A07986123	galeterone	PAFKTGFSEFKSQG	androgen receptor modulator	AR|CYP17A1	broad_id_20170327	Phase 3		
BRD-A08187463-001-12-9	BRD-A08187463	racecadotril	ODUOJXZPIYUATO	enkephalinase inhibitor	MME	broad_id_20170327	Launched		
BRD-A08545410-311-01-8	BRD-A08545410	E-64	LTLYEAJONXGNFG	calpain inhibitor|cysteine protease inhibitor	CTSS	deprecated_broad_id_20180516	Preclinical		
BRD-A09349126-001-10-7	BRD-A09349126	norethindrone-acetate	IMONTRJLAWHYGT	progesterone receptor agonist	PGR	broad_id_20170327	Launched		
BRD-A09472452-015-23-4	BRD-A09472452	flecainide	DJBNUMBKLMJRSA	sodium channel blocker	KCNA5|KCNA7|SCN5A	broad_id_20170327	Launched		
BRD-A09533288-003-31-2	BRD-A09533288	verapamil	SGTNSNPWRIOYBX	calcium channel blocker	CACNA1A|CACNA1B|CACNA1C|CACNA1D|CACNA1F|CACNA1G|CACNA1I|CACNA1S|CACNB1|CACNB2|CACNB3|CACNB4|CYP3A4|KCNA10|KCNA7|KCNH2|KCNJ11|NALCN|SCN5A|SLC29A4|SLC6A4	broad_id_20170327	Launched		
BRD-A10012892-001-01-9	BRD-A10012892	argatroban	KXNPVXPOPUZYGB	thrombin inhibitor	F2	broad_id_20170327	Launched		
BRD-A10039652-001-01-2	BRD-A10039652	tipranavir	MYXACKZCYFKMTE	HIV protease inhibitor		broad_id_20170327	Launched		
BRD-A10070317-003-28-3	BRD-A10070317	propranolol	AQHHHDLHHXJYJD	adrenergic receptor antagonist	ADRB1|ADRB2	broad_id_20170327	Launched	adrenergic receptor antagonist;adrenergic receptor antagonist	ADRB2|ADRB3;ADRB1|HTR1A|HTR5A|SLC10A1
BRD-A10903566-003-07-7	BRD-A10903566	imiloxan	UXABARREKCJULM	adrenergic receptor antagonist	ADRA2A|ADRA2B	broad_id_20170327	Phase 1		
BRD-A10967948-003-06-3	BRD-A10967948	granisetron	MFWNKCLOYSRHCJ	serotonin receptor antagonist	HTR3A	broad_id_20170327	Launched		
BRD-A10977446-001-12-1	BRD-A10977446	carvedilol	OGHNVEJMJSYVRP	adrenergic receptor antagonist	ADRB1|ADRB2|ADRB3	broad_id_20170327	Launched		
BRD-A11319535-001-03-6	BRD-A11319535	beclomethasone-dipropionate	KUVIULQEHSCUHY	glucocorticoid receptor agonist	GPR97|NR3C1	broad_id_20170327	Launched		
BRD-A11990600-001-03-4	BRD-A11990600		DIWRORZWFLOCLC			broad_id_20170327			
BRD-A12077521-003-01-5	BRD-A12077521	cefepime	HVFLCNVBZFFHBT	bacterial cell wall synthesis inhibitor		broad_id_20170327	Launched		
BRD-A12230535-001-06-7	BRD-A12230535	nutlin-3	BDUHCSBCVGXTJM	MDM inhibitor	MDM2|TP53	broad_id_20170327	Preclinical		
BRD-A12237696-001-04-2	BRD-A12237696	L-citrulline	RHGKLRLOHDJJDR	nitric oxide stimulant	ASS1|DDAH1|DDAH2|GPRC6A|NOS1|NOS2|NOS3|OTC|PADI1|PADI2|PADI3|PADI4|PADI6	broad_id_20170327	Launched		
BRD-A12896037-001-04-3	BRD-A12896037	cisapride	DCSUBABJRXZOMT	serotonin receptor agonist	HTR2A|HTR3A|HTR4|KCNH2	broad_id_20170327	Withdrawn		
BRD-A12994259-001-02-1	BRD-A12994259	pomalidomide	UVSMNLNDYGZFPF	angiogenesis inhibitor|tumor necrosis factor production inhibitor		broad_id_20170327	Launched		
BRD-A13084692-001-17-3	BRD-A13084692	troglitazone	GXPHKUHSUJUWKP	insulin sensitizer|PPAR receptor agonist	CYP2C8|PPARG|TRPM3	broad_id_20170327	Withdrawn		
BRD-A13133631-001-04-0	BRD-A13133631	fluorometholone	FAOZLTXFLGPHNG	glucocorticoid receptor agonist	NR3C1	broad_id_20170327	Launched		
BRD-A13188892-066-21-5	BRD-A13188892	doxazosin	RUZYUOTYCVRMRZ	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D	broad_id_20170327	Launched		
BRD-A14262390-065-01-8	BRD-A14262390	guanadrel	HPBNRIOWIXYZFK	adrenergic inhibitor		broad_id_20170327	Launched		
BRD-A14798026-001-02-6	BRD-A14798026	mestranol	IMSSROKUHAOUJS	estrogen receptor agonist	ESR1	broad_id_20170327	Launched		
BRD-A14886633-001-01-6	BRD-A14886633	levonorgestrel	WWYNJERNGUHSAO	estrogen receptor agonist|glucocorticoid receptor antagonist|progesterone receptor agonist|progesterone receptor antagonist	PGR	broad_id_20170327	Launched	progesterone receptor agonist	AR|ESR1|PGR|SRD5A1
BRD-A14941520-051-01-0	BRD-A14941520	dofequidar	KLWUUPVJTLHYIM	MRP inhibitor|P glycoprotein inhibitor	ABCB1	broad_id_20170327	Phase 3		
BRD-A14966924-003-07-7	BRD-A14966924	alaproclate	FZSPJBYOKQPKCD	serotonin receptor antagonist	SLC6A4	broad_id_20170327	Phase 2		
BRD-A15202882-003-02-7	BRD-A15202882	milnacipran	GJJFMKBJSRMPLA	serotoninânorepinephrine reuptake inhibitor (SNRI)	SLC6A2|SLC6A4	broad_id_20170327	Launched		
BRD-A15297126-001-04-3	BRD-A15297126	fluocinonide	WJOHZNCJWYWUJD	glucocorticoid receptor agonist	NR3C1|SERPINA6|SMO	broad_id_20170327	Launched		
BRD-A15435692-003-02-3	BRD-A15435692	BMY-14802	ZXUYYZPJUGQHLQ	sigma receptor antagonist	HTR1A	broad_id_20170327	Phase 2		
BRD-A15909516-001-06-6	BRD-A15909516	rebamipide	ALLWOAVDORUJLA	free radical scavenger	FPR1	broad_id_20170327	Launched		
BRD-A15931911-001-03-8	BRD-A15931911	bucladesine	CJGYSWNGNKCJSB	adenosine receptor agonist|cAMP stimulant	PRKACA	broad_id_20170327	Launched		
BRD-A16296925-001-01-3	BRD-A16296925	indobufen	AYDXAULLCROVIT	cyclooxygenase inhibitor|platelet aggregation inhibitor	PTGS1|PTGS2	broad_id_20170327	Launched		
BRD-A16347691-001-13-1	BRD-A16347691	thioctic-acid	AGBQKNBQESQNJD	reducing agent	ACHE|PTGS2	broad_id_20170327	Launched		
BRD-A16665823-001-02-0	BRD-A16665823	butoconazole	SWLMUYACZKCSHZ	bacterial cell wall synthesis inhibitor		broad_id_20170327	Launched		
BRD-A16997652-001-02-3	BRD-A16997652	protirelin	XNSAINXGIQZQOO	thyrotropin releasing hormone receptor agonist	TRHR	broad_id_20170327	Launched		
BRD-A17411484-001-11-9	BRD-A17411484	carprofen	PUXBGTOOZJQSKH	cyclooxygenase inhibitor	PTGS2	broad_id_20170327	Launched		
BRD-A17462676-003-11-6	BRD-A17462676	bambuterol	ANZXOIAKUNOVQU	adrenergic receptor agonist	ADRB2|BCHE	broad_id_20170327	Launched		
BRD-A17655518-001-24-4	BRD-A17655518	ibuprofen	HEFNNWSXXWATRW	cyclooxygenase inhibitor		broad_id_20170327	Launched	cyclooxygenase inhibitor	ASIC1|PTGS1|PTGS2|SLC5A8
BRD-A17883755-001-06-1	BRD-A17883755	lenalidomide	GOTYRUGSSMKFNF	anticancer agent	TNF	broad_id_20170327	Launched		
BRD-A18043272-001-09-9	BRD-A18043272	phensuximide	WLWFNJKHKGIJNW	succinimide antiepileptic		broad_id_20170327	Launched		
BRD-A18611368-001-01-5	BRD-A18611368	tazobactam	LPQZKKCYTLCDGQ	beta lactamase inhibitor		broad_id_20170327	Launched		
BRD-A18620900-001-05-2	BRD-A18620900	estriol	PROQIPRRNZUXQM	estrogen receptor agonist	ESR1|ESR2	broad_id_20170327	Launched		
BRD-A18917088-001-04-9	BRD-A18917088	estradiol	VOXZDWNPVJITMN	estrogen receptor agonist	ESR1|ESR2|GPER1|KCNMA1|NR1I2	broad_id_20170327	Launched		
BRD-A19195498-050-14-1	BRD-A19195498	trimipramine	ZSCDBOWYZJWBIY	norepinephrine reputake inhibitor|tricyclic antidepressant	SLC6A2|SLC6A3|SLC6A4	broad_id_20170327	Launched		
BRD-A19633847-050-32-1	BRD-A19633847	perhexiline	CYXKNKQEMFBLER	carnitine palmitoyltransferase inhibitor	CPT1A	broad_id_20170327	Launched		
BRD-A19661776-003-27-6	BRD-A19661776	mianserin	UEQUQVLFIPOEMF	serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA1D|HRH1|HRH2|HTR2A|HTR2B|HTR2C|HTR6|HTR7	broad_id_20170327	Launched		
BRD-A19736161-001-06-7	BRD-A19736161	ondansetron	FELGMEQIXOGIFQ	serotonin receptor antagonist	HTR3A|HTR3B	broad_id_20170327	Launched		
BRD-A19795905-001-08-0	BRD-A19795905	atovaquone	UYFLKEIEOREOFC	mitochondrial electron transport inhibitor		broad_id_20170327	Launched		
BRD-A19952358-001-11-3	BRD-A19952358	closantel	JMPFSEBWVLAJKM	chitinase inhibitor|NFkB pathway inhibitor		broad_id_20170327	Launched		
BRD-A20119038-003-07-8	BRD-A20119038	mecamylamine	IMYZQPCYWPFTAG	acetylcholine receptor antagonist	CHRNA1|CHRNA2|CHRNA3|CHRNA4|CHRNA6|CHRNA7|CHRNB4	broad_id_20170327	Launched		
BRD-A20126139-001-04-2	BRD-A20126139	medrysone	GZENKSODFLBBHQ	glucocorticoid receptor agonist	NR3C1	broad_id_20170327	Launched		
BRD-A20131130-001-01-7	BRD-A20131130								
BRD-A20239487-001-24-9	BRD-A20239487	atenolol-(+)	METKIMKYRPQLGS	adrenergic receptor antagonist		broad_id_20170327	Preclinical	adrenergic receptor antagonist	ADRB1|ADRB2|LTF|PLA2G2E
BRD-A20348246-001-15-8	BRD-A20348246	chlormezanone	WEQAYVWKMWHEJO	GABA receptor modulator	GABRA1	broad_id_20170327	Withdrawn		
BRD-A21607826-003-05-1	BRD-A21607826	dexmedetomidine	CUHVIMMYOGQXCV	adrenergic receptor agonist	ADRA2A|ADRA2B|ADRA2C	broad_id_20170327	Launched	adrenergic receptor agonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C
BRD-A21858158-001-23-5	BRD-A21858158	praziquantel	FSVJFNAIGNNGKK	anthelmintic agent		broad_id_20170327	Launched		
BRD-A22032524-074-06-5	BRD-A22032524	amlodipine	HTIQEAQVCYTUBX	calcium channel blocker	CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1	broad_id_20170327	Launched	calcium channel blocker	nan
BRD-A22081593-001-11-1	BRD-A22081593	sulmazole	XMFCOYRWYYXZMY	adenosine receptor antagonist		broad_id_20170327	Phase 1		
BRD-A22305049-003-13-6	BRD-A22305049	benfluorex	CJAVTWRYCDNHSM	gluconeogenesis inhibitor	HMGCR	broad_id_20170327	Withdrawn		
BRD-A22380646-236-05-8	BRD-A22380646	pantoprazole	IQPSEEYGBUAQFF	ATPase inhibitor	ATP4A	broad_id_20170327	Launched		
BRD-A22642447-001-01-9	BRD-A22642447	licarbazepine	BMPDWHIDQYTSHX	voltage-gated sodium channel blocker	SCN5A	broad_id_20170327	Phase 3		
BRD-A22769835-300-05-7	BRD-A22769835	homochlorcyclizine	WEUCDJCFJHYFRL	antihistamine	HRH1	broad_id_20170327	Launched		
BRD-A23067620-300-01-3	BRD-A23067620	itraconazole	VHVPQPYKVGDNFY	cytochrome P450 inhibitor		broad_id_20170327	Launched		
BRD-A24191444-046-02-1	BRD-A24191444	ifenprodil	UYNVMODNBIQBMV	adrenergic receptor antagonist|glutamate receptor antagonist	GRIN2B	broad_id_20170327	Launched		
BRD-A24228527-213-01-9	BRD-A24228527	levofloxacin	GSDSWSVVBLHKDQ	bacterial DNA gyrase inhibitor	TOP2A	broad_id_20170327	Launched	bacterial DNA gyrase inhibitor	nan
BRD-A24514565-001-09-7	BRD-A24514565	warfarin	PJVWKTKQMONHTI	vitamin K antagonist	VKORC1	broad_id_20170327	Launched		
BRD-A24560335-300-01-2	BRD-A24560335	efatutazone	JCYNMRJCUYVDBC	PPAR receptor agonist	PPARG	broad_id_20170327	Phase 2		
BRD-A25234499-001-18-3	BRD-A25234499	aminoglutethimide	ROBVIMPUHSLWNV	glucocorticoid receptor antagonist	CYP11A1|CYP19A1	broad_id_20170327	Launched		
BRD-A25619068-003-03-4	BRD-A25619068	fadrozole	CLPFFLWZZBQMAO	aromatase inhibitor	CYP11B1|CYP19A1	broad_id_20170327	Launched		
BRD-A26032986-050-02-1	BRD-A26032986	zaldaride	HTGCJAAPDHZCHL	calmodulin antagonist	CALM1	broad_id_20170327	Phase 3		
BRD-A26095496-001-04-0	BRD-A26095496	clobetasol-propionate	CBGUOGMQLZIXBE	glucocorticoid receptor agonist	NR3C1|PLA2G1B	broad_id_20170327	Launched		
BRD-A26334849-001-06-2	BRD-A26334849	propafenone	JWHAUXFOSRPERK	antiarrhythmic	ADRB1|ADRB2|KCNA5|KCNH2	broad_id_20170327	Launched		
BRD-A26384407-001-25-1	BRD-A26384407	chlorthalidone	JIVPVXMEBJLZRO	carbonic anhydrase inhibitor	CA1|CA12|CA14|CA2|CA4|CA7|SLC12A1	broad_id_20170327	Launched		
BRD-A26423207-001-01-0	BRD-A26423207	sparfloxacin	DZZWHBIBMUVIIW	bacterial DNA gyrase inhibitor	TOP2A	broad_id_20170327	Withdrawn		
BRD-A26503646-001-16-6	BRD-A26503646	formestane	ZMEULISFKSVRLQ	aromatase inhibitor	CYP19A1	broad_id_20170327	Launched		
BRD-A26690767-066-01-9	BRD-A26690767	saquinavir	QWAXKHKRTORLEM	HIV protease inhibitor	CYP3A4	broad_id_20170327	Launched		
BRD-A26711594-003-10-6	BRD-A26711594	nicardipine	ZBBHBTPTTSWHBA	calcium channel blocker	ADORA3	broad_id_20170327	Launched		
BRD-A27376179-001-01-3	BRD-A27376179	lestaurtinib	UIARLYUEJFELEN	FLT3 inhibitor|growth factor receptor inhibitor|JAK inhibitor	FLT3|NTRK1	broad_id_20170327	Phase 3		
BRD-A27732521-003-08-3	BRD-A27732521	tolperisone	FSKFPVLPFLJRQB	voltage-gated sodium channel blocker	CYP2C19|CYP2D6	broad_id_20170327	Launched		
BRD-A28467416-002-01-0	BRD-A28467416	PKI-179	WXUUCRLKXQMWRY	mTOR inhibitor|PI3K inhibitor	MTOR	broad_id_20170327	Phase 1		
BRD-A28545468-003-16-6	BRD-A28545468	selegiline	MEZLKOACVSPNER	monoamine oxidase inhibitor	MAOA|MAOB	broad_id_20170327	Launched		
BRD-A28746609-001-11-5	BRD-A28746609	paclitaxel	RCINICONZNJXQF	tubulin polymerization inhibitor	BCL2|MAP2|MAP4|MAPT|NR1I2|TLR4|TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8	broad_id_20170327	Launched		
BRD-A28787076-001-04-8	BRD-A28787076	inosine	UGQMRVRMYYASKQ	neurotrophic agent	PARP1|PNP	broad_id_20170327	Launched		
BRD-A29260609-003-26-0	BRD-A29260609	acebutolol	GOEMGAFJFRBGGG	adrenergic receptor antagonist	ADRB1	broad_id_20170327	Launched		
BRD-A29289453-001-04-7	BRD-A29289453	PCA-4248	DHCNAWNKZMNTIS	platelet activating factor receptor antagonist	PTAFR	broad_id_20170327	Phase 1		
BRD-A29322418-237-04-0	BRD-A29322418	potassium-canrenoate	PBKZPPIHUVSDNM	mineralocorticoid receptor antagonist	NR3C2	broad_id_20170327	Launched		
BRD-A29485665-001-12-8	BRD-A29485665	bicalutamide	LKJPYSCBVHEWIU	androgen receptor antagonist	AR	broad_id_20170327	Launched		
BRD-A29520968-001-02-7	BRD-A29520968	acifran	DFDGRKNOFOJBAJ	cholesterol inhibitor	HCAR2|HCAR3	broad_id_20170327	Phase 3		
BRD-A29623586-001-01-3	BRD-A29623586	anisodamine	WTQYWNWRJNXDEG	lipid peroxidase inhibitor	ADRA1A	broad_id_20170327	Phase 3		
BRD-A29731977-001-04-5	BRD-A29731977	17-hydroxyprogesterone-caproate	DOMWKUIIPQCAJU	progesterone receptor agonist	AR|ESR1|ESR2|NR1H4|NR1I2|NR3C1|PGR	broad_id_20170327	Launched		
BRD-A29734509-011-13-6	BRD-A29734509	disopyramide	UVTNFZQICZKOEM	sodium channel blocker	CHRM1|CHRM2|CHRM3|KCND2|KCND3|KCNH2|SCN5A	broad_id_20170327	Launched		
BRD-A29844814-300-01-5	BRD-A29844814	ABT-202	LVGMMVAWLISWJD	acetylcholine receptor agonist		broad_id_20170327	Phase 1		
BRD-A29854054-236-12-6	BRD-A29854054	lorglumide	IEKOTSCYBBDIJC	CCK receptor antagonist	CCKAR|CCKBR	broad_id_20170327	Phase 1		
BRD-A30051119-002-01-8	BRD-A30051119	amikacin	LKCWBDHBTVXHDL	bacterial 30S ribosomal subunit inhibitor		broad_id_20170327	Launched		
BRD-A30815329-001-10-5	BRD-A30815329	felodipine	RZTAMFZIAATZDJ	calcium channel blocker	CFTR	broad_id_20170327	Launched		
BRD-A30984645-001-01-5	BRD-A30984645	GDC-0834	CDOOFZZILLRUQH	Bruton's tyrosine kinase (BTK) inhibitor	BTK	broad_id_20170327	Phase 1		
BRD-A31095847-001-02-3	BRD-A31095847	mozavaptan	WRNXUQJJCIZICJ	vasopressin receptor antagonist	AVPR1A|AVPR1B|AVPR2	broad_id_20170327	Launched		
BRD-A31159102-003-30-4	BRD-A31159102	fluoxetine	RTHCYVBBDHJXIQ	selective serotonin reuptake inhibitor (SSRI)	ANO1|HTR2B|SLC6A4	broad_id_20170327	Launched		
BRD-A31521121-001-26-4	BRD-A31521121	methocarbamol	GNXFOGHNGIVQEH	muscle relaxant	CA1	broad_id_20170327	Launched		
BRD-A31811760-001-06-7	BRD-A31811760	miltefosine	PQLXHQMOHUQAKB	membrane integrity inhibitor	PLA2G1B	broad_id_20170327	Launched		
BRD-A32172948-001-07-6	BRD-A32172948	methiopril	JHFOAISYWJRTIM	angiotensin converting enzyme inhibitor	ACE	broad_id_20170327	Phase 2		
BRD-A32269193-001-01-5	BRD-A32269193	VGX-1027	MUFJHYRCIHHATF	tumor necrosis factor receptor antagonist	TLR4	broad_id_20170327	Phase 1		
BRD-A33084557-001-06-6	BRD-A33084557	tioconazole	QXHHHPZILQDDPS	sterol demethylase inhibitor		broad_id_20170327	Launched		
BRD-A33168282-003-18-0	BRD-A33168282	sotalol	ZBMZVLHSJCTVON	adrenergic receptor antagonist	ADRB1|ADRB2|KCNH2	broad_id_20170327	Launched		
BRD-A33280134-001-04-7	BRD-A33280134	etoposide	VJJPUSNTGOMMGY	topoisomerase inhibitor	TOP2A|TOP2B	broad_id_20170327	Launched		
BRD-A33447119-001-10-8	BRD-A33447119	oxfendazole	BEZZFPOZAYTVHN	anthelmintic agent		broad_id_20170327	Launched		
BRD-A33692381-001-01-9	BRD-A33692381	zidovudine	HBOMLICNUCNMMY	nucleoside reverse transcriptase inhibitor	TERT	broad_id_20170327	Launched		
BRD-A33697453-008-02-4	BRD-A33697453	fenticonazole	ZCJYUTQZBAIHBS	bacterial cell wall synthesis inhibitor		broad_id_20170327	Launched		
BRD-A33711280-003-03-1	BRD-A33711280	metixene	MJFJKKXQDNNUJF	acetylcholine receptor antagonist	CHRM5	broad_id_20170327	Launched		
BRD-A34006693-001-15-4	BRD-A34006693	suprofen	MDKGKXOCJGEUJW	cyclooxygenase inhibitor	PTGS1|PTGS2	broad_id_20170327	Withdrawn		
BRD-A34255068-001-34-5	BRD-A34255068	(R)-(-)-rolipram	HJORMJIFDVBMOB	phosphodiesterase inhibitor	PDE4A|PDE4B|PDE4C|PDE4D|PDE5A	broad_id_20170327	Phase 1	phosphodiesterase inhibitor;phosphodiesterase inhibitor	PDE4B|PDE4D;nan
BRD-A34513497-002-02-3	BRD-A34513497	lacitol	VQHSOMBJVWLPSR	laxative		broad_id_20170327	Launched		
BRD-A36010170-001-04-0	BRD-A36010170	amcinonide	ILKJAFIWWBXGDU	glucocorticoid receptor agonist	NR3C1	broad_id_20170327	Launched		
BRD-A36057565-001-01-0	BRD-A36057565	bruceantin	KMCZIPGKKBSLEX	protein synthesis inhibitor		broad_id_20170327	Phase 2		
BRD-A36331462-001-02-1	BRD-A36331462	oprozomib	SWZXEVABPLUDIO	proteasome inhibitor		broad_id_20170327	Phase 1/Phase 2		
BRD-A37288617-003-02-2	BRD-A37288617		XXEPPPIWZFICOJ			broad_id_20170327			
BRD-A37780065-001-04-5	BRD-A37780065	triamcinolone	GFNANZIMVAIWHM	glucocorticoid receptor agonist	NR3C1	broad_id_20170327	Launched		
BRD-A37959677-001-04-5	BRD-A37959677	estrone	DNXHEGUUPJUMQT	estrogen receptor agonist|estrogenic hormone	ESR1|ESR2	broad_id_20170327	Launched		
BRD-A38076815-003-10-3	BRD-A38076815	glafenine	GWOFUCIGLDBNKM	DeltaF508-CFTR Correctors	CFTR	broad_id_20170327	Withdrawn		
BRD-A38218502-001-01-2	BRD-A38218502	metenkephalin	YFGBQHOOROIVKG	immunostimulant	OPRD1	broad_id_20170327	Phase 2		
BRD-A38350138-001-04-9	BRD-A38350138	ketoconazole	XMAYWYJOQHXEEK	sterol demethylase inhibitor	KCNA10	broad_id_20170327	Launched		
BRD-A38592941-001-02-7	BRD-A38592941	timonacic	DZLNHFMRPBPULJ	antioxidant		broad_id_20170327	Launched		
BRD-A39390670-236-10-7	BRD-A39390670	rabeprazole	YREYEVIYCVEVJK	ATPase inhibitor|gastrin inhibitor	ATP4A	broad_id_20170327	Launched		
BRD-A39415247-001-10-4	BRD-A39415247	norethindrone	VIKNJXKGJWUCNN	progesterone receptor agonist	PGR	broad_id_20170327	Launched		
BRD-A39935389-001-05-9	BRD-A39935389	teroxirone	OUPZKGBUJRBPGC	DNA inhibitor		broad_id_20170327	Phase 1		
BRD-A40084411-003-07-7	BRD-A40084411	CGP-12177	UMQUQWCJKFOUGV	adrenergic receptor agonist	ADRB1|ADRB2|ADRB3	broad_id_20170327	Phase 1		
BRD-A40639672-234-18-0	BRD-A40639672	ketorolac	OZWKMVRBQXNZKK	cyclooxygenase inhibitor	PTGS1|PTGS2	broad_id_20170327	Launched		
BRD-A40787240-066-04-6	BRD-A40787240	gemifloxacin	ZRCVYEYHRGVLOC	bacterial DNA gyrase inhibitor		broad_id_20170327	Launched		
BRD-A41451487-001-11-2	BRD-A41451487	PK-11195	RAVIZVQZGXBOQO	benzodiazepine receptor antagonist	TSPO	broad_id_20170327	Phase 1		
