pert_id	pert_iname	moa	target
BRD-K04691817	AGI-6780	isocitrate dehydrogenase inhibitor	IDH2
BRD-A78111609	AGM-1470	cell cycle inhibitor	METAP2
BRD-K49738308	agmatine	nitric oxide synthase inhibitor	ADRA2C|ASIC3|CACNA1B|CHRNA1|GRIN1|KCNJ1|NISCH
BRD-A18074780	AGN-192403	imidazoline receptor ligand	NISCH
BRD-K70262971	AGN-194310	retinoid receptor antagonist	RXRA|RXRB|RXRG
BRD-K32533226	AGN-195183	retinoid receptor agonist	RARA
BRD-K84698278	agomelatine	melatonin receptor agonist|serotonin receptor antagonist	HTR2A|HTR2B|HTR2C|MTNR1A|MTNR1B
BRD-K91495480	AGP-103	membrane permeability inhibitor	
BRD-K10852420	AH-7614	free fatty acid receptor antagonist	FFAR4
BRD-A64808605	AH11110	adrenergic receptor ligand	ADRA1B
BRD-K59339270	AH6809	prostanoid receptor antagonist	PTGDR|PTGER1|PTGER2|PTGER3
BRD-K89899948	AI-10-49	core binding factor inhibitor	CBFB
BRD-K85139301	AIM-100	tyrosine kinase inhibitor	TNK2
BRD-K00005347	ajmaline	sodium channel blocker	
BRD-K76677554	AJ76-(+)	dopamine receptor antagonist	DRD2|DRD3|DRD4
BRD-K09143580	AK-7	SIRT inhibitor	SIRT2
BRD-K54907283	AKBA	lipoxygenase inhibitor	ALOX5
BRD-K26807903	aklomide		
BRD-K44731351	AL-8697	p38 MAPK inhibitor	MAPK14
BRD-K51784806	alacepril	angiotensin converting enzyme inhibitor	ACE
BRD-K80403280	alafosfalin	bacterial cell wall synthesis inhibitor	
BRD-K96029467	alagebrium	glycosylation inhibitor	
BRD-A33317514	alanine		
BRD-K00004718	alanosine	antimetabolite	
BRD-K53731810	alantolactone	apoptosis stimulant|STAT inhibitor	STAT3
BRD-K01826783	alaproclate	serotonin receptor antagonist	SLC6A4
BRD-K42140276	alarelin	gonadotropin releasing factor hormone receptor antagonist	GNRH1
BRD-K79131256	albendazole	tubulin polymerization inhibitor	TUBA1A|TUBB|TUBB4B
BRD-A67060370	albendazole-oxide	anthelmintic agent	
BRD-K01825118	albuterol	adrenergic receptor agonist	ADRB2
BRD-K55991142	alcaftadine	histamine receptor antagonist	HRH1
BRD-K47492008	alclofenac	cyclooxygenase inhibitor	PTGS1
BRD-A17407635	alclometasone-dipropionate	glucocorticoid receptor agonist	CYP3A4|NR3C1|SERPINA6
BRD-A84907376	alcuronium	muscle relaxant	CHRM1|CHRM2|CHRM3|CHRM4|CHRNA7
BRD-K06890060	alda-1	aldehyde dehydrogenase activator	ALDH2
BRD-K68928792	aldoxorubicin	topoisomerase inhibitor	TOP2A
BRD-K11267252	alectinib	ALK tyrosine kinase receptor inhibitor	ALK|MET
BRD-K75527158	alendronate	bone resorption inhibitor	ATP6V1A|FDPS|PTPN4|PTPRE|PTPRS
BRD-A42335949	alexidine	phosphatidylglycerophosphatase inhibitor	PTPMT1
BRD-K49522529	alfacalcidol	vitamin D receptor agonist	CYP27B1|VDR
BRD-K51751936	alfadolone-acetate	benzodiazepine receptor agonist	
BRD-K01826519	alfuzosin	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A
BRD-K00005348	algestone-acetophenide		
BRD-K60102752	alibendol	antispasmodic	
BRD-K01827280	alimemazine	histamine receptor agonist|histamine receptor antagonist	HRH1
BRD-K00004709	alinidine	bradycardic effect 	
BRD-K75295174	alisertib	Aurora kinase inhibitor	AURKA
BRD-K30020243	aliskiren-hemifumarate	renin inhibitor	REN
BRD-K00003135	alisporivir	cyclophilin inhibitor	
BRD-K00003607	alizapride	dopamine receptor antagonist	
BRD-K73191876	alizarin		
BRD-A96407378	allantoin	cosmetic	
BRD-A60402836	allicin	cytokine production inhibitor	TRPA1|TRPV1
BRD-K86307448	allopurinol	xanthine oxidase inhibitor	XDH
BRD-K00004728	allopurinol-riboside	anti-leishmanial agent|phosphorylase inhibitor	
BRD-A93407926	allopurinol-riboside	anti-leishmanial agent|phosphorylase inhibitor	
BRD-K12872829	allylestrenol	steroidal progestin	ESR1|PGR|SLC6A9
BRD-K33219225	allylisothiocyanate	TRPV agonist	TRPA1
BRD-K89634775	allylthiourea	nitrification inhibitor	
BRD-K82677201	almitrine	neurotransmitter agonist	ATP1A1
BRD-K84810405	almorexant	orexin receptor antagonist	HCRTR1|HCRTR2
BRD-K67601717	almotriptan	serotonin receptor agonist	HTR1B|HTR1D
BRD-K04851519	aloe-emodin	anticancer agent	CASP8
BRD-K83003151	alogliptin	dipeptidyl peptidase inhibitor	DPP4
BRD-K02074536	aloin	angiogenesis inhibitor	
BRD-K96391852	aloperine		
BRD-K46742498	alosetron	serotonin receptor antagonist	HTR3A
BRD-K00004697	alovudine	DNA synthesis marker	
BRD-K91188791	aloxistatin	protease inhibitor	CTSG
BRD-K54997624	alpelisib	PI3K inhibitor	PIK3CA|PIK3CB|PIK3CD|PIK3CG
BRD-K72536715	alpha-asarone	cytochrome P450 inhibitor|HMGCR inhibitor	HMGCR
BRD-K87424134	alpha-D-glucopyranose		
BRD-K00005238	alpha-glucosyl-hesperidin	antioxidant	
BRD-K33396764	alpha-linolenic-acid	omega 3 fatty acid stimulant	ELOVL4|FADS1|FADS2|FFAR1|FFAR4|PTGS2|SLC8A1|TRPV1
BRD-K80028314	alpha-methylhistamine-dihydrobromide-(R)-(-)	histamine receptor agonist	HRH3
BRD-K28308851	alpha-methylhistamine-dihydrobromide-(S)-(+)	histamine receptor agonist	HRH3
BRD-K01826806	alpha-methylserotonin	serotonin receptor agonist	HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR4
BRD-A82892199	alpha-tochopherol	antioxidant	
BRD-A61850409	alpha-tochopheryl-acetate	antioxidant	
BRD-K66896751	alpidem	benzodiazepine receptor agonist	GABRA1
BRD-K01825817	alprenolol	adrenergic receptor antagonist	ADRB1|ADRB2
BRD-K52459643	alprostadil	prostanoid receptor agonist	CATSPER1|CATSPER2|CATSPER3|CATSPER4|PTGDR|PTGER1|PTGER2|PTGER4|PTGIR
BRD-K35498378	alrestatin	aldose reductase inhibitor	AKR1B1
BRD-K21415491	ALS-8112		
BRD-K00004605	ALS-8176	RNA polymerase inhibitor	
BRD-K00610438	altanserin	serotonin receptor antagonist	HTR2A
BRD-A56675431	althiazide	diuretic	
BRD-K52681925	altinicline	nicotinic receptor agonist	CHRNA4|CHRNB2
BRD-K78627070	altiratinib	MET inhibitor|VEGFR inhibitor	KDR|MET|TEK
BRD-K50276048	altrenogest	progestogen hormone	PGR
BRD-K67043667	altretamine	DNA synthesis inhibitor	
BRD-K89055274	alverine	muscle relaxant	HTR1A
BRD-K83988098	alvespimycin	HSP inhibitor	HSP90AA1
BRD-K07857022	alvimopan	opioid receptor antagonist	OPRD1|OPRK1|OPRM1
BRD-K87909389	alvocidib	CDK inhibitor	CDK1|CDK2|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|EGFR|PYGM
BRD-K00003337	ALX-40-4C	CC chemokine receptor antagonist	
BRD-K53979406	ALX-5407	glycine transporter inhibitor	SLC6A9
BRD-A66116161	AM-1241	cannabinoid receptor agonist	CNR1|CNR2
BRD-K59013864	AM-24	lipoxygenase inhibitor	ALOX5
BRD-K92000912	AM-251	cannabinoid receptor antagonist	CNR1|GPR18|GPR55
BRD-K59419204	AM-281	cannabinoid receptor antagonist	CNR1|CNR2|GPR55
BRD-K55462201	AM-404	cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist	CNR1|CNR2|FAAH|TRPV1
BRD-K06854232	AM-580	retinoid receptor agonist	RARA
BRD-K63533170	AM-630	cannabinoid receptor antagonist	CNR1|CNR2
BRD-K01826811	AM-92016	potassium channel blocker	GRIN1
BRD-K70330367	amantadine	glutamate receptor antagonist	DRD2|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A
BRD-K11244467	ambazone	DNA damage inducer	
BRD-K11292736	ambenonium	cholinesterase inhibitor	ACHE
BRD-K41185545	ambrisentan	endothelin receptor antagonist	EDNRA|EDNRB
BRD-K56558538	ambroxol	sodium channel blocker	CYP3A4
BRD-K00003244	amcasertib	kinase inhibitor	
BRD-A36010170	amcinonide	glucocorticoid receptor agonist	NR3C1
BRD-K03019184	AMD-3465	CC chemokine receptor antagonist	CXCR4
BRD-K41051431	amdinocillin	bacterial cell wall synthesis inhibitor	
BRD-K42948882	AMD11070	CC chemokine receptor antagonist	CCR5|CXCR4
BRD-K48173020	ameltolide	anticonvulsant	
BRD-K00004966	amenamevir	helicase primase inhibitor	
BRD-K00004726	ametantrone	anticancer agent	
BRD-K51387999	amezinium	adrenergic receptor agonist	ADRB2
BRD-K82122102	amfenac	cyclooxygenase inhibitor	PTGS1|PTGS2
BRD-K50813454	amflutizole	xanthine oxidase inhibitor	XDH
BRD-K04374714	AMG-PERK-44	PERK inhibitor	EIF2AK4
BRD-K43900408	AMG-176	MCL1 inhibitor	
BRD-K32285926	AMG-208	tyrosine kinase inhibitor	MET
BRD-K64925568	AMG-232	MDM inhibitor	MDM2
BRD-K21077415	AMG-319	PI3K inhibitor	PIK3CD
BRD-K27061362	AMG-337	MET inhibitor	MET
BRD-K90239174	AMG-487	CC chemokine receptor antagonist	
BRD-A01307728	AMG-487-(+/-)	CC chemokine receptor antagonist	CXCR3
BRD-K00010385	AMG-510	K-Ras inhibitor	
BRD-K34185671	AMG-517	TRPV antagonist	TRPV1
BRD-K86673452	AMG-548	MAP kinase inhibitor	MAPK11|MAPK12|MAPK13|MAPK14
BRD-K43802723	AMG-837	free fatty acid receptor agonist	FFAR1
BRD-K97452254	AMG-925	CDK inhibitor|FLT3 inhibitor	CDK4|CDK6|FLT3
BRD-K01995783	AMG-9810	TRPV antagonist	TRPV1
BRD-A58947127	AMG319	PI3K inhibitor	PIK3CD
BRD-K21782625	AMG458	MET inhibitor	MET
BRD-K21728777	AMG900	Aurora kinase inhibitor	AURKA|AURKB|AURKC
BRD-K75114721	AMI-1	protein arginine N-methyltransferase inhibitor	PRMT1
BRD-K24610819	amibegron	adrenergic receptor agonist	ADRB3
BRD-K12568846	amidopyrine	analgesic agent	
BRD-K80262108	amifampridine	potassium channel blocker	
BRD-A19401019	amiflamine	monoamine oxidase inhibitor	MAOA|SLC6A2
BRD-K73947551	amifostine	reducing agent	ALPPL2|ENPP1
BRD-K88043978	amikacin	bacterial 30S ribosomal subunit inhibitor	
BRD-K97181089	amiloride	sodium channel blocker	AOC1|ASIC1|ASIC2|ASIC3|PKD2|PKD2L1|PLAU|SCNN1A|SCNN1B|SCNN1D|SCNN1G|SLC9A1|TRPC7|TRPV2
BRD-K24219278	amineptine	dopamine receptor agonist	SLC6A2|SLC6A4
BRD-K64931368	aminocaproic-acid	plasminogen activator inhibitor	LPA|PLAT|PLG
BRD-A25234499	aminoglutethimide	glucocorticoid receptor antagonist	CYP11A1|CYP19A1
BRD-K25114078	aminoguanidine	nitric oxide synthase inhibitor	AKR1B1|NOS2|TIMP3
BRD-A40777960	aminohydroxybutyric-acid		
BRD-K59998349	aminolevulinic-acid-benzyl-ester		
BRD-A28318179	aminomethyltransferase	nitric oxide synthase inhibitor	NOS2
BRD-A69917777	aminopentamide	acetylcholine receptor antagonist	CHRM1
BRD-K97799481	aminophylline	adenosine receptor antagonist	ADORA1|ADORA2A|ADORA2B|ADORA3|HDAC2|PDE3A|PDE3B|PDE4A|PDE4B|PDE4C|PDE4D|PDE5A
BRD-K87544030	aminopterin	dihydrofolate reductase inhibitor	DHFR|SLC46A1
BRD-K07762753	aminopurvalanol-a	CDK inhibitor|tyrosine kinase inhibitor	CDK1|CDK2|CDK5
BRD-K80267133	aminosalicylate	cyclooxygenase inhibitor	ALOX5|CHUK|PLA2G2E|PTGS1|PTGS2
BRD-K94837153	aminothiadiazole	inosine monophosphate dehydrogenase inhibitor	ADORA3|IMPDH1
BRD-K13421763	aminothiazole	cyclin D inhibitor	NOS2
BRD-K17561142	amiodarone	potassium channel blocker	ADRB1|CACNA1H|CACNA2D2|KCNA7|KCNH2
BRD-K97643133	amiprilose	CD antagonist	
BRD-K00003223	amiselimod	sphingosine 1-phosphate receptor modulator	
BRD-A60197193	amisulpride	dopamine receptor antagonist	DRD2
BRD-A68942014	amitifadine	serotonin transporter (SERT) inhibitor	SLC6A2|SLC6A3|SLC6A4
BRD-K33335792	amitraz	adrenergic receptor agonist	ADRA1A|ADRA2A
BRD-K53737926	amitriptyline	norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotoninânorepinephrine reuptake inhibitor (SNRI)	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|HRH2|HRH4|HTR1A|HTR1B|HTR1D|HTR2A|HTR2C|HTR6|HTR7|KCNA1|KCND2|KCND3|KCNQ2|KCNQ3|NTRK1|NTRK2|OPRD1|OPRK1|OPRM1|SIGMAR1|SLC6A2|SLC6A4
BRD-K29530284	amlexanox	histamine receptor modulator	FGF1|IL3|PDE4A|PDE4B|PDE4C|PDE4D|S100A12|S100A13
BRD-K01825117	amlodipine	calcium channel blocker	CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1
BRD-K83486494	ammonium-glycyrrhizinate	thrombin inhibitor	HSD11B1|HSD11B2|SLCO1B1|SLCO1B3
BRD-M29182745	ammonium-lactate		HCAR1
BRD-K32531356	ammonium-perfluorocaprylate	Pim kinase inhibitor	PIM1
BRD-K23335153	AMN-082	glutamate receptor modulator	GRM7
BRD-K91290917	amodiaquine	histamine receptor agonist	HNMT
BRD-K56334280	amonafide	topoisomerase inhibitor	TOP2A|TOP2B
BRD-A37390343	amorolfine	membrane integrity inhibitor	
BRD-K02265150	amoxapine	norepinephrine reputake inhibitor	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|HRH1|HRH4|HTR1A|HTR1B|HTR2A|HTR2B|HTR2C|HTR3A|HTR6|HTR7|SLC6A2|SLC6A3|SLC6A4
