InChIKey14,broad_id_20170327,deprecated_broad_id_20170327,pert_iname_20170327,broad_id_20180516,deprecated_broad_id_20180516,pert_iname_20180516,broad_id_20180907,deprecated_broad_id_20180907,pert_iname_20180907,broad_id_20200324,deprecated_broad_id_20200324,pert_iname_20200324
ACCFLVVUVBJNGT,BRD-K82967180,,LY3023414,BRD-K82967180,,LY3023414,BRD-K82967180,,LY3023414,BRD-K82967180,,LY3023414
ACCMWZWAEFYUGZ,BRD-K51937257,,bilastine,BRD-K51937257,,bilastine,BRD-K51937257,,bilastine,BRD-K51937257,,bilastine
ACEWLPOYLGNNHV,BRD-A75224450,,ibuprofen-piconol,BRD-A75224450,,ibuprofen-piconol,BRD-A75224450,,ibuprofen-piconol,BRD-A75224450,,ibuprofen-piconol
ACGDKVXYNVEAGU,BRD-K62676709,,guanethidine,BRD-K62676709,,guanethidine,BRD-K62676709,BRD-M18219129,guanethidine,BRD-K62676709,BRD-M18219129,guanethidine
ACGUYXCXAPNIKK,BRD-K99792991,,hexachlorophene,BRD-K99792991,,hexachlorophene,BRD-K99792991,,hexachlorophene,BRD-K99792991,,hexachlorophene
ACOXQYLJOQAHST,BRD-K54538117,,LY450108,BRD-K54538117,,LY450108,BRD-K54538117,,LY450108,BRD-K54538117,,LY450108
ACPOUJIDANTYHO,BRD-K01567962,,pyrazolanthrone,BRD-K01567962,,pyrazolanthrone,BRD-K01567962,,pyrazolanthrone,BRD-K01567962,,pyrazolanthrone
ACQBHJXEAYTHCY,BRD-K01767299,,ciproxifan,BRD-K01767299,,ciproxifan,BRD-K01767299,,ciproxifan,BRD-K01767299,,ciproxifan
ACRHBAYQBXXRTO,BRD-K31385749,,ivabradine,BRD-K31385749,,ivabradine,BRD-K31385749,,ivabradine,BRD-K33972682,,ivabradine
ACSIXWWBWUQEHA,BRD-K72542090,,clodronic-acid,BRD-K72542090,,clodronic-acid,BRD-K72542090,,clodronic-acid,BRD-K72542090,,clodronic-acid
ACTIUHUUMQJHFO,BRD-K75043328,,coenzyme-q10,BRD-K75043328,,coenzyme-q10,BRD-K75043328,,coenzyme-q10,BRD-K75043328,,coenzyme-Q10
ACTOXUHEUCPTEW,BRD-K14716343|BRD-K35824922|BRD-K77056640,,spiramycin,BRD-K14716343|BRD-K35824922,,spiramycin,BRD-A67305656,BRD-K14716343|BRD-K35824922|BRD-K77056640,spiramycin,BRD-K00003542,,spiramycin
ACTRVOBWPAIOHC,BRD-K88701661,,dimercaptosuccinic-acid,BRD-K88701661,,dimercaptosuccinic-acid,BRD-K88701661,,dimercaptosuccinic-acid,BRD-K88701661,,dimercaptosuccinic-acid
ACVGNKYJVGNLIL,BRD-K79905821,,gabazine,BRD-K79905821,,gabazine,BRD-K79905821,,gabazine,BRD-K79905821,,gabazine
ACVGWSKVRYFWRP,BRD-K94723713,,rutaecarpine,BRD-K94723713,,rutaecarpine,BRD-K94723713,,rutaecarpine,BRD-K94723713,,rutaecarpine
ACWBQPMHZXGDFX,BRD-K45158365,,valsartan,BRD-K45158365,,valsartan,BRD-K45158365,,valsartan,BRD-K45158365,,valsartan
ACWZRVQXLIRSDF,BRD-K82244583,,MEK162,BRD-K82244583,,MEK162,BRD-K82244583,,MEK162,BRD-K82244583,,binimetinib
ADEBPBSSDYVVLD,BRD-A49160188,,donepezil,BRD-A49160188,,donepezil,BRD-A49160188,,donepezil,BRD-A49160188,,donepezil
ADFCQWZHKCXPAJ,BRD-K54847683,,equol,BRD-K54847683,,equol,BRD-K54847683,,equol,BRD-K54847683,,equol
ADFOJJHRTBFFOF,BRD-K00077635,,estramustine-phosphate,BRD-K00077635,,estramustine-phosphate,BRD-K00077635,,estramustine-phosphate,BRD-K00077635,,estramustine-phosphate
ADGGYDAFIHSYFI,BRD-K62374002,,PI3K-IN-2,BRD-K62374002,,PI3K-IN-2,BRD-K62374002,,PI3K-IN-2,BRD-K62374002,,PI3K-IN-2
ADIMAYPTOBDMTL,BRD-A50049929,,oxazepam,BRD-A50049929,,oxazepam,BRD-A50049929,,oxazepam,,,
ADNPLDHMAVUMIW,BRD-K23106423,,substance-p,BRD-K23106423,,substance-p,BRD-K23106423,,substance-p,BRD-K23106423,,substance-P
ADVPTQAUNPRNPO,BRD-A25800195,,L-Cysteinesulfinic-acid,BRD-A25800195,,L-Cysteinesulfinic-acid,BRD-A25800195,,L-Cysteinesulfinic-acid,BRD-A25800195,,L-cysteinesulfinic-acid
AEAPORIZZWBIEX,BRD-K11672787,,rostafuroxine,BRD-K11672787,,rostafuroxine,BRD-K11672787,,rostafuroxine,BRD-K11672787,,rostafuroxine
AECDBHGVIIRMOI,BRD-K24696047,,NVP-AEW541,BRD-K24696047,,NVP-AEW541,BRD-K24696047,,NVP-AEW541,BRD-K24696047,,NVP-AEW541
AEJOEPSMZCEYJN,BRD-K73290745,,ICI-199441,BRD-K73290745,,ICI-199441,BRD-K73290745,,ICI-199441,BRD-K73290745,,ICI-199441
AELCINSCMGFISI,BRD-A43974575|BRD-K47029922|BRD-K88809146,,tranylcypromine,BRD-A43974575|BRD-K47029922|BRD-K88809146,,tranylcypromine,BRD-A43974575|BRD-K47029922|BRD-K88809146,BRD-M46777692,tranylcypromine,BRD-K00003699,,tranylcypromine
AEOCXXJPGCBFJA,BRD-K51207550,,ethionamide,BRD-K51207550,,ethionamide,BRD-K51207550,,ethionamide,BRD-K33710385,,ethionamide
AEQDJSLRWYMAQI,BRD-K35719256,,rotundine,BRD-K35719256,,rotundine,BRD-K35719256,,rotundine,BRD-K35719256,,rotundine
AERBNCYCJBRYDG,BRD-K05048137,,phytosphingosine,BRD-K05048137,,phytosphingosine,BRD-K05048137,,phytosphingosine,BRD-K05048137,,phytosphingosine
AEUTYOVWOVBAKS,BRD-K93231391,,ethambutol,BRD-K93231391,,ethambutol,BRD-K93231391,,ethambutol,BRD-K93231391,,ethambutol
AEZPAUSGTAHLOQ,BRD-K76568384,,PHTPP,BRD-K76568384,,PHTPP,BRD-K76568384,,PHTPP,BRD-K76568384,,PHTPP
AFCGFAGUEYAMAO,BRD-K26262077,,acamprosate,BRD-K26262077,,acamprosate,BRD-K26262077,BRD-M41783010,acamprosate,BRD-K26262077,BRD-M41783010,acamprosate
AFDXODALSZRGIH,BRD-K26273521,,trans-4-Methoxycinnamic-acid,BRD-K26273521,,trans-4-Methoxycinnamic-acid,BRD-K26273521,,trans-4-Methoxycinnamic-acid,BRD-K26273521,,trans-4-methoxycinnamic-acid
AFFZCQDLQIEQGB,BRD-K59998349,,aminolevulinic-acid-benzyl-ester,BRD-K59998349,,aminolevulinic-acid-benzyl-ester,BRD-K59998349,,aminolevulinic-acid-benzyl-ester,BRD-K59998349,,aminolevulinic-acid-benzyl-ester
AFHJQYHRLPMKHU,BRD-A63615100|BRD-K02074536,,aloin,BRD-A63615100|BRD-K02074536,,aloin,BRD-K02074536,BRD-A63615100,aloin,BRD-K02074536,BRD-A63615100,aloin
AFJRDFWMXUECEW,BRD-K25412176,,GSK2110183,BRD-K25412176,,GSK2110183,BRD-K25412176,,GSK2110183,BRD-K25412176,,GSK2110183
AFJYYKSVHJGXSN,BRD-A58564983,,selamectin,BRD-A58564983,,selamectin,BRD-A58564983,,selamectin,BRD-K00003549,,selamectin
AFLFKFHDSCQHOL,BRD-K03165895,,elafibranor,BRD-K03165895,,elafibranor,BRD-K03165895,,elafibranor,BRD-K03165895,,elafibranor
AFNXATANNDIXLG,BRD-A70649075,,sulconazole,BRD-A70649075,,sulconazole,BRD-A70649075,,sulconazole,BRD-A70649075,,sulconazole
AFQQVNXTHGUXEQ,BRD-K64414150,,tymazoline,BRD-K64414150,,tymazoline,BRD-K64414150,,tymazoline,,,
AFSDNFLWKVMVRB,BRD-K30466858,,ellagic-acid,BRD-K30466858,,ellagic-acid,BRD-K30466858,,ellagic-acid,BRD-K30466858,,ellagic-acid
AFSOIHMEOKEZJF,BRD-K82484965,,carmoxirole,BRD-K82484965,,carmoxirole,BRD-K82484965,,carmoxirole,BRD-K82484965,,carmoxirole
AFTZZRFCMOAFCR,BRD-K32289541,,EHop-016,BRD-K32289541,,EHop-016,BRD-K32289541,,EHop-016,BRD-K32289541,,EHop-016
AFUWQWYPPZFWCO,BRD-K44164034,,pumosetrag,BRD-K44164034,,pumosetrag,BRD-K44164034,,pumosetrag,BRD-K44164034,,pumosetrag
AFZFFLVORLEPPO,BRD-A39056513|BRD-K05878591|BRD-K72167406,,cefditoren-pivoxil,BRD-A39056513|BRD-K05878591|BRD-K72167406,,cefditoren-pivoxil,BRD-K72167406,BRD-A39056513|BRD-K05878591,cefditoren-pivoxil,BRD-K72167406,BRD-A39056513|BRD-K05878591,cefditoren-pivoxil
AFZLABYDOCWQBQ,BRD-K15588452,,R-96544,BRD-K15588452,,R-96544,BRD-K15588452,,R-96544,BRD-K15588452,,R-96544
AGBQKNBQESQNJD,BRD-A16347691,,thioctic-acid,BRD-A16347691,,thioctic-acid,BRD-A16347691,,thioctic-acid,BRD-A16347691,,thioctic-acid
AGHANLSBXUWXTB,BRD-K34098590,,tienilic-acid,BRD-K34098590,,tienilic-acid,BRD-K34098590,,tienilic-acid,BRD-K34098590,,tienilic-acid
AGJBLWCLQCKRJP,BRD-A22267103,,drofenine,BRD-A22267103,,drofenine,BRD-A22267103,,drofenine,BRD-A22267103,,drofenine
AGKAAJMNNVUNDK,BRD-A30590053,,MR-16728,BRD-A30590053,,MR-16728,BRD-A30590053,,MR-16728,BRD-A30590053,,MR-16728
AGMMTXLNIQSRCG,BRD-A59303141,,quinethazone,BRD-A59303141,,quinethazone,BRD-A59303141,,quinethazone,BRD-A59303141,,quinethazone
AGOYDEPGAOXOCK,BRD-K16762525|BRD-K49668410,,clarithromycin,BRD-K49668410,,clarithromycin,BRD-K49668410,BRD-K16762525,clarithromycin,BRD-K49668410,BRD-K16762525,clarithromycin
AGPIHNZOZNKRGT,BRD-K11792081,,ABT-639,BRD-K11792081,,ABT-639,BRD-K11792081,,ABT-639,BRD-K11792081,,ABT-639
AGPKZVBTJJNPAG,BRD-A02232681,,isoleucine,BRD-A02232681,,isoleucine,BRD-A02232681,,isoleucine,BRD-A02232681,,isoleucine
AGRCPNMCOXLKFO,BRD-A55902763,,2-Deoxy-2-{[methyl(nitroso)carbamoyl]amino}hexose,BRD-A55902763,,2-Deoxy-2-{[methyl(nitroso)carbamoyl]amino}hexose,BRD-A55902763,,2-Deoxy-2-{[methyl(nitroso)carbamoyl]amino}hexose,,,
AGYIAWHWIUZNSD,BRD-K72735080,,BET-BAY-002,BRD-K72735080,,BET-BAY-002,BRD-K72735080,,BET-BAY-002,BRD-K72735080,,BET-BAY-002
AHBKIEXBQNRDNL,BRD-A41774846,,algestone-acetophenide,BRD-A41774846,,algestone-acetophenide,BRD-A41774846,,algestone-acetophenide,BRD-K00005348,,algestone-acetophenide
AHCYOTLTLQTPSU,BRD-K86109159,,VU0357121,BRD-K86109159,,VU0357121,BRD-K86109159,,VU0357121,BRD-K86109159,,VU0357121
AHFWIQIYAXSLBA,BRD-K51247865,,ipragliflozin-l-proline,BRD-K51247865,,ipragliflozin-l-proline,BRD-K51247865,,ipragliflozin-l-proline,BRD-K51247865,,ipragliflozin-L-proline
AHFZDNYNXFMRFQ,BRD-K57597776,,org-27569,BRD-K57597776,,org-27569,BRD-K57597776,,org-27569,BRD-K57597776,,ORG-27569
AHJRHEGDXFFMBM,BRD-K51313569,,palbociclib,BRD-K51313569,,palbociclib,BRD-K51313569,,palbociclib,BRD-K51313569,,palbociclib
AHKAOMZZTQULDS,BRD-A45929034,,benzoclidine,BRD-A45929034,,benzoclidine,BRD-A45929034,,benzoclidine,BRD-A45929034,,benzoclidine
AHKBRSQVOSQELW,BRD-K57027742,,N-(2-chlorophenyl)-2-({(2E)-2-[1-(2-pyridinyl)ethylidene]hydrazino}carbothioyl)hydrazinecarbothioamide,BRD-K57027742,,N-(2-chlorophenyl)-2-({(2E)-2-[1-(2-pyridinyl)ethylidene]hydrazino}carbothioyl)hydrazinecarbothioamide,BRD-K57027742,,N-(2-chlorophenyl)-2-({(2E)-2-[1-(2-pyridinyl)ethylidene]hydrazino}carbothioyl)hydrazinecarbothioamide,,,
AHLBNYSZXLDEJQ,BRD-K63343048|BRD-K94062100,,orlistat,BRD-K63343048|BRD-K94062100,,orlistat,BRD-K63343048|BRD-K94062100,,orlistat,BRD-K63343048,,orlistat
AHLPHDHHMVZTML,BRD-A13561534,,ornithine,BRD-A13561534,,ornithine,BRD-A13561534,,ornithine,,,
AHOUBRCZNHFOSL,BRD-K37991163,,paroxetine,BRD-K37991163,,paroxetine,BRD-K37991163,,paroxetine,BRD-K37991163,,paroxetine
AHYMHWXQRWRBKT,BRD-K97963946,,EMD-1214063,BRD-K97963946,,EMD-1214063,BRD-K97963946,,EMD-1214063,BRD-K97963946,,EMD-1214063
AIGAZQPHXLWMOJ,BRD-K34073885,,tanshinone-i,BRD-K34073885,,tanshinone-i,BRD-K34073885,,tanshinone-i,BRD-K34073885,,tanshinone-I
AILRADAXUVEEIR,BRD-K56981171,,brigatinib,BRD-K56981171,,brigatinib,BRD-K56981171,,brigatinib,BRD-K56981171,,brigatinib
AIONOLUJZLIMTK,BRD-K30553453,,hesperetin,BRD-K30553453,,hesperetin,BRD-K30553453,,hesperetin,BRD-K30553453,,hesperetin
AIZFEOPQVZBNGH,BRD-K89490285,,bentazepam,BRD-K89490285,,bentazepam,BRD-K89490285,,bentazepam,,,
AJFFBPZYXRNAIC,BRD-K59419204,,AM-281,BRD-K59419204,,AM-281,BRD-K59419204,,AM-281,BRD-K59419204,,AM-281
AJFTZWGGHJXZOB,BRD-K06221026,,DUP-697,BRD-K06221026,,DUP-697,BRD-K06221026,,DUP-697,BRD-K06221026,,DUP-697
AJIPIJNNOJSSQC,BRD-K75445017,,estetrol,BRD-K75445017,,estetrol,BRD-K75445017,,estetrol,BRD-K75445017,,estetrol
AJKIRUJIDFJUKJ,BRD-K98765504,,taurolidine,BRD-K98765504,,taurolidine,BRD-K98765504,,taurolidine,BRD-K98765504,,taurolidine
AJLFOPYRIVGYMJ,BRD-A83177971|BRD-K31414443|BRD-K94441233,,mevastatin,BRD-A83177971|BRD-K31414443|BRD-K94441233,,mevastatin,BRD-K94441233,BRD-A83177971|BRD-K31414443,mevastatin,BRD-K94441233,BRD-A83177971|BRD-K31414443,mevastatin
AJMOLNFDYWTVQW,BRD-K81136890,,leucylleucine-methyl-ester,BRD-K81136890,,leucylleucine-methyl-ester,BRD-K81136890,,leucylleucine-methyl-ester,BRD-K81136890,,leucylleucine-methyl-ester
AJRGHIGYPXNABY,BRD-K88742110,,PCI-34051,BRD-K88742110,,PCI-34051,BRD-K88742110,,PCI-34051,BRD-K88742110,,PCI-34051
AJXPJJZHWIXJCJ,BRD-A57592049,,methsuximide,BRD-A57592049,,methsuximide,BRD-A57592049,,methsuximide,BRD-A57592049,,methsuximide
AKCRNFFTGXBONI,BRD-K40175214,,torin-1,BRD-K40175214,,torin-1,BRD-K40175214,,torin-1,BRD-K40175214,,torin-1
AKJHMTWEGVYYSE,BRD-K89085489,,fenretinide,BRD-K89085489,,fenretinide,BRD-K89085489,,fenretinide,BRD-K89085489,,fenretinide
AKMNUCBQGHFICM,BRD-K41567364,,SB-334867,BRD-K41567364,,SB-334867,BRD-K41567364,,SB-334867,BRD-K41567364,,SB-334867
AKNNEGZIBPJZJG,BRD-A51393488|BRD-K91301684,,noscapine,BRD-A51393488|BRD-K91301684,,noscapine,BRD-K89237706|BRD-K91301684,BRD-A51393488|BRD-K91301684,noscapine,BRD-K89237706,BRD-A51393488|BRD-K91301684,noscapine
AKSIZPIFQAYJGF,BRD-K53561341,,aurora-a-inhibitor-i,BRD-K53561341,,aurora-a-inhibitor-i,BRD-K53561341,,aurora-a-inhibitor-i,BRD-K53561341,,aurora-a-inhibitor-i
AKUJBENLRBOFTD,BRD-A92177080|BRD-A93424738|BRD-K40063336,,betamethasone-acetate|dexamethasone-acetate,BRD-A92177080|BRD-A93424738|BRD-K47635719,,betamethasone-acetate|dexamethasone-acetate,BRD-A92177080|BRD-K47635719,BRD-A93424738|BRD-K40063336,betamethasone-acetate|dexamethasone-acetate,BRD-K00025439|BRD-K47635719,BRD-A93424738|BRD-K40063336|BRD-M00025439,betamethasone-acetate|dexamethasone-acetate
AKWRNBWMGFUAMF,BRD-K37151368,,adaptavir,BRD-K37151368,,adaptavir,BRD-K37151368,,adaptavir,BRD-K37151368,,adaptavir
AKXCFAYOTIEFOH,BRD-K70898774,,naloxone-benzoylhydrazone,BRD-K70898774,,naloxone-benzoylhydrazone,BRD-K70898774,BRD-K58239851,naloxone-benzoylhydrazone,BRD-K70898774,BRD-K58239851,naloxone-benzoylhydrazone
ALBKMJDFBZVHAK,BRD-K33882852,,ZK-93423,BRD-K33882852,,ZK-93423,BRD-K33882852,,ZK-93423,BRD-K33882852,,ZK-93423
ALCSGJCIESECFD,BRD-K11071038,,ICI-162846,BRD-K11071038,,ICI-162846,BRD-K11071038,,ICI-162846,BRD-K66782112,,ICI-162846
ALEXXDVDDISNDU,BRD-A65767837,,hydrocortisone-acetate,BRD-A65767837,,hydrocortisone-acetate,BRD-A65767837,,hydrocortisone-acetate,BRD-K11612998,,hydrocortisone-acetate
ALFGDCNSEBJYSP,BRD-A17428743,,BW-723C86,BRD-A17428743,,BW-723C86,BRD-A17428743,,BW-723C86,BRD-K01826747,,BW-723C86
ALHBJBCQLJZYON,BRD-K59711701,,ORY-1001,BRD-K59711701,,ORY-1001,BRD-K59711701,,ORY-1001,BRD-K59711701,,ORY-1001
ALKJNCZNEOTEMP,BRD-K14274271,,XL228,BRD-K14274271,,XL228,BRD-K14274271,,XL228,BRD-K14274271,,XL228
ALLWOAVDORUJLA,BRD-A15909516,,rebamipide,BRD-A15909516,,rebamipide,BRD-A15909516,,rebamipide,BRD-A15909516,,rebamipide
ALOBUEHUHMBRLE,BRD-A74391928,,ibutilide,BRD-A74391928,BRD-M56587789,ibutilide,BRD-A74391928,BRD-M56587789,ibutilide,BRD-A74391928,BRD-M56587789,ibutilide
ALSKYCOJJPXPFS,BRD-K49811169,,NSC-9965,BRD-K49811169,,NSC-9965,BRD-K49811169,,NSC-9965,BRD-K49811169,,NSC-9965
ALWKGYPQUAPLQC,BRD-K18922609,,neostigmine,BRD-K18922609,,neostigmine,BRD-K18922609,,neostigmine,BRD-K18922609,,neostigmine
ALYNCZNDIQEVRV,BRD-K58497451,,potassium-p-aminobenzoate,BRD-K58497451,,potassium-p-aminobenzoate,BRD-K58497451,,potassium-p-aminobenzoate,BRD-K58497451,,potassium-p-aminobenzoate
AMDBBAQNWSUWGN,BRD-A65818372,,ioversol,BRD-A65818372,,ioversol,BRD-A65818372,,ioversol,BRD-A65818372,,ioversol
AMDGKLWVCUXONP,BRD-K22010301,,JLK-6,BRD-K22010301,,JLK-6,BRD-K22010301,,JLK-6,BRD-K22010301,,JLK-6
AMEROGPZOLAFBN,BRD-K21586122,,fimasartan,BRD-K21586122,,fimasartan,BRD-K21586122,BRD-K76786967,fimasartan,BRD-K21586122,BRD-K76786967,fimasartan
AMHZIUVRYRVYBA,BRD-K14379200,,cyclocreatine,BRD-K14379200,,cyclocreatine,BRD-K14379200,,cyclocreatine,BRD-K14379200,,cyclocreatine
AMKVXSZCKVJAGH,BRD-K61337602,,naratriptan,BRD-K61337602,,naratriptan,BRD-K61337602,,naratriptan,BRD-K61337602,,naratriptan
AMLYAMJWYAIXIA,BRD-K57252450,,cilengitide,BRD-K57252450,,cilengitide,BRD-K57252450,,cilengitide,BRD-K57252450,,cilengitide
AMRFVEMXRRPNJH,BRD-K34251960,,cibenzoline,BRD-K34251960,,cibenzoline,BRD-K34251960,,cibenzoline,,,
AMRSLVJUMUBRSB,BRD-A51799737,,thiostrepton,,,,,,,,,
AMTPYFGPPVFBBI,BRD-K97417064,,acedapsone,BRD-K97417064,,acedapsone,BRD-K97417064,,acedapsone,BRD-K97417064,,acedapsone
ANDGGVOPIJEHOF,BRD-K24771047,,ampalex,BRD-K24771047,,ampalex,BRD-K24771047,,ampalex,BRD-K24771047,,ampalex
ANEBWFXPVPTEET,BRD-A90695733,,manidipine,BRD-A90695733,,manidipine,BRD-A90695733,,manidipine,BRD-K01825587,,manidipine
ANGKOCUUWGHLCE,BRD-A81233518,,glycopyrrolate,BRD-A81233518,,glycopyrrolate,BRD-A81233518,,glycopyrrolate,BRD-A81233518,,glycopyrrolate
ANGUXJDGJCHGOG,BRD-K69669039,,GSK163090,BRD-K69669039,,GSK163090,BRD-K69669039,,GSK163090,BRD-K69669039,,GSK163090
ANJTVLIZGCUXLD,BRD-A55579717|BRD-K74186897,,cytisine,BRD-A55579717|BRD-K74186897,,cytisine,BRD-K74186897,BRD-A55579717,cytisine,BRD-K74186897,BRD-A55579717,cytisine
ANMATWQYLIFGOK,BRD-K15426076,,iguratimod,BRD-K15426076,,iguratimod,BRD-K15426076,,iguratimod,BRD-K15426076,,iguratimod
ANMLJLFWUCQGKZ,BRD-A98378129,,talniflumate,BRD-A98378129,,talniflumate,BRD-A98378129,,talniflumate,BRD-A98378129,,talniflumate
ANOUKFYBOAKOIR,BRD-K59570838,,homoveratrylamine,BRD-K59570838,,homoveratrylamine,BRD-K59570838,,homoveratrylamine,BRD-K59570838,,homoveratrylamine
ANZXOIAKUNOVQU,BRD-A17462676,,bambuterol,BRD-A17462676,,bambuterol,BRD-A17462676,,bambuterol,BRD-A17462676,,bambuterol
AOBORMOPSGHCAX,BRD-A39830855,,tocofersolan,BRD-A39830855,,tocofersolan,BRD-A39830855|BRD-K57305459,BRD-U58371969,tocofersolan,BRD-K57305459,BRD-U58371969,tocofersolan
AOCCBINRVIKJHY,BRD-K11630072,,carmofur,BRD-K11630072,,carmofur,BRD-K11630072,,carmofur,BRD-K11630072,,carmofur
AOJJSUZBOXZQNB,BRD-A52530684|BRD-K04548931|BRD-K56844688|BRD-K61468417|BRD-K92093830,,doxorubicin|epirubicin,BRD-A52530684|BRD-K04548931|BRD-K56844688|BRD-K61468417|BRD-K92093830,,doxorubicin|epirubicin,BRD-K04548931|BRD-K92093830,BRD-A52530684|BRD-K56844688|BRD-K61468417,doxorubicin|epirubicin,BRD-K04548931|BRD-K92093830,BRD-A52530684|BRD-K56844688|BRD-K61468417,doxorubicin|epirubicin
AOMUHOFOVNGZAN,BRD-K11548689,,lauric-diethanolamide,BRD-K11548689,,lauric-diethanolamide,BRD-K11548689,,lauric-diethanolamide,BRD-K11548689,,lauric-diethanolamide
APGDTXUMTIZLCJ,BRD-A78391468,,prednisolone-hemisuccinate,BRD-A78391468,,prednisolone-hemisuccinate,BRD-A78391468,,prednisolone-hemisuccinate,BRD-A78391468,,prednisolone-hemisuccinate
APHGZZPEOCCYNO,BRD-K73293050,,WZ-3146,BRD-K73293050,,WZ-3146,BRD-K73293050,,WZ-3146,BRD-K73293050,,WZ-3146
APKFDSVGJQXUKY,BRD-A75647097|BRD-K27352494|BRD-K69849489|BRD-K94561406,,amphotericin-b,BRD-A75647097|BRD-K27352494|BRD-K82702594|BRD-K94561406,,amphotericin-b,BRD-K27352494,BRD-A75647097|BRD-K82702594|BRD-K94561406,amphotericin-b,BRD-K27352494,BRD-A75647097|BRD-K82702594|BRD-K94561406,amphotericin-b
APQPGQGAWABJLN,BRD-A23418262,,floctafenine,BRD-A23418262,,floctafenine,BRD-A23418262,,floctafenine,BRD-A23418262,,floctafenine
APQPVVOYBLOJDY,BRD-K53156626,,7-methoxytacrine,BRD-K53156626,,7-methoxytacrine,BRD-K53156626,,7-methoxytacrine,BRD-K53156626,,7-methoxytacrine
APSUXPSYBJVPPS,BRD-K36381762,,nor-Binaltorphimine-dihydrochloride,BRD-K36381762,,nor-Binaltorphimine-dihydrochloride,BRD-K36381762,,nor-Binaltorphimine-dihydrochloride,BRD-K36381762,,nor-binaltorphimine
APTGJECXMIKIET,BRD-K07625016,,norethisterone-enanthate,BRD-K07625016,,norethisterone-enanthate,BRD-K07625016,,norethisterone-enanthate,BRD-K07625016,,norethisterone-enanthate
AQASGOHUMGAWJJ,BRD-K62581435,,3-MPPI,BRD-K62581435,,3-MPPI,BRD-K62581435,,3-MPPI,BRD-K62581435,,3-MPPI
AQCHWTWZEMGIFD,BRD-A61793559,,metolazone,BRD-A61793559,,metolazone,BRD-A61793559,,metolazone,BRD-A61793559,,metolazone
AQFFXPQJLZFABJ,BRD-K59339270,,AH6809,BRD-K59339270,,AH6809,BRD-K59339270,,AH6809,BRD-K59339270,,AH6809
AQGNHMOJWBZFQQ,BRD-K16189898,,CHIR-99021,BRD-K16189898,,CHIR-99021,BRD-K16189898,,CHIR-99021,BRD-K16189898,,CHIR-99021
AQHHHDLHHXJYJD,BRD-A10070317|BRD-K13994703|BRD-K92830582,,propranolol|propranolol-(R)|propranolol-(S),BRD-A10070317|BRD-K13994703|BRD-K92830582,,propranolol|propranolol-(R)|propranolol-(S),BRD-A10070317|BRD-K13994703|BRD-K92830582,,propranolol|propranolol-(R)|propranolol-(S),BRD-A10070317|BRD-K13994703|BRD-K92830582,,propranolol|propranolol-(R)|propranolol-(S)
AQIXAKUUQRKLND,BRD-K34157611,,cimetidine,BRD-K34157611,,cimetidine,BRD-K34157611,,cimetidine,BRD-K34157611,,cimetidine
