!Source	"The Drug Repurposing Hub, Broad Institute"		
!URL	http://www.broadinstitute.org/repurposing		
!File_date	3/27/17		
!Table_name	drug information		
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.		
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER’S SOLE RISK.		
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.		
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 23 (2017)."		
!Contact	repurposing@broadinstitute.org		
pert_iname	clinical_phase	moa	target
adenosine-triphosphate	Phase 2	adenosine receptor agonist	ABCA1|ABCB1|ABCB11|ABCC2|ABCC8|ABCC9|ABCG1|ABL1|ABL2|ACSL1|ACSS1|ACSS2|ACVR1|ACVR1B|ACVRL1|ADCY1|ADRBK1|ADRBK2|AFG3L2|AKT1|ALK|AMHR2|APAF1|ARAF|ASNA1|ASNS|ASS1|CDK15|GPR17|ITPR1|NAE1|NT5C2|P2RY1|P2RY11|P2RY13|P2RY2|P2RY4|PRKAA1|RYR1|RYR2|RYR3|SLC25A4|TNK2|TRPM4|TRPM7
adiphenine	Launched	acetylcholine receptor antagonist	CHRNA1
adipic-acid	Preclinical	solute carrier family member inhibitor	SLC22A6
adiporon	Preclinical	adiponectin receptor agonist	ADIPOR1|ADIPOR2
ADL5859	Phase 2	opioid receptor agonist	OPRD1
adoprazine	Phase 2	dopamine receptor antagonist|serotonin receptor agonist	DRD2|HTR1A
adrafinil	Launched	adrenergic receptor agonist	
adrenalone	Launched	adrenergic receptor agonist	ADRA1A
adrenosterone	Preclinical	11-beta hydroxysteroid dehydrogenase inhibitor	HSD11B1|HSD11B2
ADX-47273	Preclinical	glutamate receptor modulator	GRM5
AEE788	Phase 1/Phase 2	EGFR inhibitor|VEGFR inhibitor	EGFR|ERBB2|ERBB4|FGFR2|FGFR3|KDR
AEG3482	Preclinical	HSP inducer	
afalanine	Phase 3	dopamine receptor agonist	DRD2
afatinib	Launched	EGFR inhibitor	EGFR|ERBB2|ERBB4
afimoxifene	Phase 2	estrogen receptor antagonist	ESR1|ESR2|ESRRG|PLD1|PRKCD|PRKCE|PRKCQ|PRKCZ
afloqualone	Launched	acetylcholine receptor antagonist	
AFN-1252	Phase 2	FABI inhibitor	
afobazole	Launched	anxiolytic	
AF38469	Preclinical	sortilin inhibitor	SORT1
AG-1024	Preclinical	insulin growth factor receptor inhibitor	IGF1R
AG-14361	Preclinical	PARP inhibitor	PARP1
AG-490	Preclinical	EGFR inhibitor|JAK inhibitor	EGFR|JAK2|JAK3
AG-555	Preclinical	tyrosine kinase inhibitor	CDK2
AG-556	Preclinical	tyrosine kinase inhibitor	
AGI-5198	Preclinical	isocitrate dehydrogenase inhibitor	IDH1
AGI-6780	Preclinical	isocitrate dehydrogenase inhibitor	IDH2
AGM-1470	Phase 2	cell cycle inhibitor	METAP2
agmatine	Phase 3	nitric oxide synthase inhibitor	ADRA2C|ASIC3|CACNA1B|CHRNA1|GRIN1|KCNJ1|NISCH
AGN-192403	Preclinical	imidazoline receptor ligand	NISCH
AGN-194310	Phase 3	retinoid receptor antagonist	RXRA|RXRB|RXRG
AGN-195183	Phase 1/Phase 2	retinoid receptor agonist	RARA
agomelatine	Launched	melatonin receptor agonist|serotonin receptor antagonist	HTR2A|HTR2B|HTR2C|MTNR1A|MTNR1B
AGP-103	Launched	membrane permeability inhibitor	
AH11110	Preclinical	adrenergic receptor ligand	ADRA1B
AH6809	Preclinical	prostanoid receptor antagonist	PTGDR|PTGER1|PTGER2|PTGER3
AI-10-49	Preclinical	core binding factor inhibitor	CBFB
ajmaline	Launched	sodium channel blocker	SCN5A
AJ76-(+)	Preclinical	dopamine receptor antagonist	DRD2|DRD3|DRD4
AKBA	Phase 3	lipoxygenase inhibitor	ALOX5
aklomide	Launched		
alacepril	Launched	angiotensin converting enzyme inhibitor	ACE
alafosfalin	Phase 1	bacterial cell wall synthesis inhibitor	
alagebrium	Phase 2/Phase 3	glycosylation inhibitor	
alanine	Launched		AARS|AARS2|ABAT|AGXT|AGXT2|GPRC6A|GPT|GPT2|KYNU|NFS1|PHYKPL|SLC1A4|SLC36A1|SLC7A8
alaproclate	Phase 2	serotonin receptor antagonist	SLC6A4
alarelin	Launched	gonadotropin releasing factor hormone receptor antagonist	GNRH1
albendazole	Launched	tubulin polymerization inhibitor	TUBA1A|TUBB|TUBB4B
albendazole-oxide	Launched	anthelmintic agent	
albuterol	Launched	adrenergic receptor agonist	ADRB1|ADRB2
alcaftadine	Launched	histamine receptor antagonist	HRH1
alclofenac	Launched	cyclooxygenase inhibitor	PTGS1
alclometasone-dipropionate	Launched	glucocorticoid receptor agonist	CYP3A4|NR3C1|SERPINA6
alcuronium	Launched	muscle relaxant	CHRM1|CHRM2|CHRM3|CHRM4|CHRNA7
aldoxorubicin	Phase 3	topoisomerase inhibitor	TOP2A
alectinib	Launched	ALK tyrosine kinase receptor inhibitor	ALK|MET
alendronate	Launched	bone resorption inhibitor	ATP6V1A|FDPS|PTPN4|PTPRE|PTPRS
alexidine	Preclinical	phosphatidylglycerophosphatase inhibitor	PTPMT1
alfacalcidol	Launched	vitamin D receptor agonist	CYP27B1|VDR
alfadolone-acetate	Phase 2	benzodiazepine receptor agonist	
alfaxalone	Launched	chloride channel agonist|benzodiazepine receptor agonist	GABBR1
alfuzosin	Launched	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|KCNH2
algestone-acetophenide	Launched		
alibendol	Launched	antispasmodic	
alimemazine	Launched	histamine receptor agonist	HRH1
alisertib	Phase 3	Aurora kinase inhibitor	AURKA
aliskiren-hemifumarate	Launched	renin inhibitor	REN
alizapride	Launched	dopamine receptor antagonist	DRD2
alizarin	Preclinical		
allantoin	Launched	cosmetic	
allicin	Phase 2	cytokine production inhibitor	TRPA1|TRPV1
allopurinol	Launched	xanthine oxidase inhibitor	XDH
allopurinol-riboside	Phase 2	anti-leishmanial agent	
allylestrenol	Launched	steroidal progestin	ESR1|PGR|SLC6A9
allylisothiocyanate	Preclinical	TRPV agonist	TRPA1
allylthiourea	Preclinical	nitrification inhibitor	
almitrine	Launched	neurotransmitter agonist	ATP1A1
almorexant	Phase 3	orexin receptor antagonist	HCRTR1|HCRTR2
almotriptan	Launched	serotonin receptor agonist	HTR1B|HTR1D
aloe-emodin	Preclinical	anticancer agent	CASP8
alogliptin	Launched	dipeptidyl peptidase inhibitor	DPP4
aloin	Preclinical	angiogenesis inhibitor	
aloperine	Preclinical		
alosetron	Withdrawn	serotonin receptor antagonist	HTR3A
aloxistatin	Phase 3	protease inhibitor	CTSG
alpelisib	Phase 3	PI3K inhibitor	PIK3CA|PIK3CB|PIK3CD|PIK3CG
alpha-Asarone	Preclinical	cytochrome P450 inhibitor|HMGCR inhibitor	HMGCR
alpha-D-glucopyranose	Preclinical		
alpha-linolenic-acid	Phase 3	omega 3 fatty acid stimulant	ELOVL4|FADS1|FADS2|FFAR1|FFAR4|PTGS2|SLC8A1|TRPV1
alpha-methylhistamine-dihydrobromide-(R)-(-)	Preclinical	histamine receptor agonist	HRH3
alpha-methylhistamine-dihydrobromide-(S)-(+)	Preclinical	histamine receptor agonist	HRH3
alpha-methylserotonin	Preclinical	serotonin receptor agonist	HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR4
alpha-tochopherol	Launched	antioxidant	
alpha-tochopheryl-acetate	Launched	antioxidant	
alpidem	Withdrawn	benzodiazepine receptor agonist	GABRA1
alprenolol	Launched	adrenergic receptor antagonist	ADRB1|ADRB2|HTR1A
alprostadil	Launched	prostanoid receptor agonist	CATSPER1|CATSPER2|CATSPER3|CATSPER4|PTGDR|PTGER1|PTGER2|PTGER4|PTGIR
alrestatin	Preclinical	aldose reductase inhibitor	AKR1B1
ALS-8176	Phase 1	RNA polymerase inhibitor	
altanserin	Phase 2	serotonin receptor antagonist	HTR2A
althiazide	Launched	diuretic	
altinicline	Phase 2	nicotinic receptor agonist	CHRNA4|CHRNB2
altiratinib	Phase 1	VEGFR inhibitor|MET inhibitor	KDR|MET|TEK
altrenogest	Launched	progestogen hormone	PGR
altretamine	Launched	DNA synthesis inhibitor	
alverine	Launched	muscle relaxant	HTR1A
alvespimycin	Phase 2	HSP inhibitor	HSP90AA1
alvimopan	Launched	opioid receptor antagonist	OPRD1|OPRK1|OPRM1
alvocidib	Phase 2	CDK inhibitor	CDK1|CDK2|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|EGFR|PYGM
ALX-5407	Phase 1	Glycine transporter 1 inhibitor	SLC6A9
AM-1241	Preclinical	cannabinoid receptor agonist	CNR1|CNR2
AM-24	Phase 2	lipoxygenase inhibitor	ALOX5
AM-251	Preclinical	cannabinoid receptor antagonist	CNR1|GPR18|GPR55
AM-281	Preclinical	cannabinoid receptor antagonist	CNR1|CNR2|GPR55
AM-404	Preclinical	cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist	CNR1|CNR2|FAAH|TRPV1
AM-580	Preclinical	retinoid receptor agonist	RARA
AM-630	Preclinical	cannabinoid receptor antagonist	CNR1|CNR2
AM-92016	Preclinical	potassium channel blocker	GRIN1
amantadine	Launched	glutamate receptor antagonist	DRD2|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A
ambazone	Phase 1	DNA damage inducer	
ambenonium	Launched	cholinesterase inhibitor	ACHE
ambrisentan	Launched	endothelin receptor antagonist	EDNRA|EDNRB
ambroxol	Launched	sodium channel blocker	CYP3A4
amcinonide	Launched	glucocorticoid receptor agonist	ANXA1|NR3C1
amdinocillin	Launched	bacterial cell wall synthesis inhibitor	
AMD11070	Phase 1/Phase 2	CC chemokine receptor antagonist	CXCR4
ameltolide	Preclinical	anticonvulsant	
amezinium	Launched	adrenergic receptor agonist	ADRB2
amfenac	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2
amfepramone	Launched	adrenergic receptor agonist	SLC6A2|SLC6A3
amflutizole	Phase 2	xanthine oxidase inhibitor	XDH
AMG-208	Phase 1	tyrosine kinase inhibitor	MET
AMG-232	Phase 1/Phase 2	MDM inhibitor	MDM2
AMG-319	Phase 2	PI3K inhibitor	PIK3CD
AMG-337	Phase 2	MET inhibitor	MET
AMG-487	Phase 2	CC chemokine receptor antagonist	CXCR3
AMG-517	Phase 1	TRPV antagonist	TRPV1
AMG-548	Phase 1	MAP kinase inhibitor	MAPK11|MAPK12|MAPK13|MAPK14
AMG-837	Phase 1	free fatty acid receptor agonist	FFAR1
AMG-925	Phase 1	CDK inhibitor|FLT3 inhibitor	CDK4|CDK6|FLT3
AMG-9810	Preclinical	TRPV antagonist	TRPV1
AMG319	Phase 2	PI3K inhibitor	PIK3CD
AMG458	Preclinical	MET inhibitor	MET
AMG900	Phase 1	Aurora kinase inhibitor	AURKA|AURKB|AURKC
AMI-1	Preclinical	protein arginine N-methyltransferase inhibitor	PRMT1
amibegron	Phase 3	adrenergic receptor agonist	ADRB3
amidopyrine	Launched	analgesic agent	
amifampridine	Launched	potassium channel blocker	
amiflamine	Phase 1	monoamine oxidase inhibitor	MAOA|SLC6A2
amifostine	Launched	reducing agent	ALPPL2|ENPP1
amikacin	Launched	bacterial 30S ribosomal subunit inhibitor	
amiloride	Launched	sodium channel blocker	AOC1|ASIC1|ASIC2|ASIC3|PKD2|PKD2L1|PLAU|SCNN1A|SCNN1B|SCNN1D|SCNN1G|SLC9A1|TRPC7|TRPV2
amineptine	Withdrawn	dopamine receptor agonist	SLC6A2|SLC6A4
aminocaproic-acid	Launched	plasminogen activator inhibitor	LPA|PLAT|PLG
aminoglutethimide	Launched	glucocorticoid receptor antagonist	CYP11A1|CYP19A1
aminoguanidine	Phase 3	nitric oxide synthase inhibitor	NOS2
aminohydroxybutyric-acid	Launched		
aminolevulinic-acid-benzyl-ester	Phase 1		
aminomethyltransferase	Preclinical	nitric oxide synthase inhibitor	NOS2
aminopentamide	Launched	acetylcholine receptor antagonist	CHRM1
aminophylline	Launched	adenosine receptor antagonist	ADORA1|ADORA2A|ADORA2B|ADORA3|HDAC2|PDE3A|PDE3B|PDE4A|PDE4B|PDE4C|PDE4D
aminopterin	Phase 3	dihydrofolate reductase inhibitor	DHFR|SLC46A1
aminopurvalanol-a	Preclinical	CDK inhibitor|tyrosine kinase inhibitor	CDK1|CDK2|CDK5|CDK6
aminosalicylate	Launched	cyclooxygenase inhibitor	ALOX5|CHUK|PLA2G2E|PTGS1|PTGS2
aminothiadiazole	Phase 2	inosine monophosphate dehydrogenase inhibitor	ADORA3|IMPDH1
aminothiazole	Preclinical	cyclin D inhibitor	NOS2
amiodarone	Launched	potassium channel blocker	ADRB1|CACNA1H|CACNA2D2|KCNA7|KCNH2
amiprilose	Phase 3	CD antagonist	
amisulpride	Launched	dopamine receptor antagonist	DRD2|DRD3|HTR2A|HTR7
amitifadine	Phase 3	serotonin transporter (SERT) inhibitor	SLC6A2|SLC6A3|SLC6A4
amitraz	Launched	adrenergic receptor agonist	ADRA1A|ADRA2A
amitriptyline	Launched	norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI)	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|HRH2|HRH4|HTR1A|HTR1B|HTR1D|HTR2A|HTR2C|HTR6|HTR7|KCNA1|KCND2|KCND3|KCNQ2|KCNQ3|NTRK1|NTRK2|OPRD1|OPRK1|OPRM1|SIGMAR1|SLC6A2|SLC6A4
amlexanox	Launched	histamine receptor modulator	FGF1|IL3|PDE4A|PDE4B|PDE4C|PDE4D|S100A12|S100A13
amlodipine	Launched	calcium channel blocker	CA1|CACNA1B|CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1|CACNA2D3|CACNB1|CACNB2|SMPD1
ammonium-glycyrrhizinate	Launched	thrombin inhibitor	HSD11B1|HSD11B2|SLCO1B1|SLCO1B3
ammonium-lactate	Launched		HCAR1
ammonium-perfluorocaprylate	Phase 1	Pim kinase inhibitor	PIM1
AMN-082	Preclinical	glutamate receptor modulator	GRM7
amodiaquine	Launched	histamine receptor agonist	HNMT
amonafide	Phase 3	topoisomerase inhibitor	TOP2A|TOP2B
amorolfine	Launched	membrane integrity inhibitor	
amoxapine	Launched	norepinephrine reputake inhibitor	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|HRH1|HRH4|HTR1A|HTR1B|HTR2A|HTR2B|HTR2C|HTR3A|HTR6|HTR7|SLC6A2|SLC6A3|SLC6A4
amoxicillin	Launched	penicillin binding protein inhibitor	CYP2C19|SLC15A1|SLC15A2|SLC22A6
AMPA-(RS)	Preclinical	glutamate receptor agonist	GRIN1
AMPA-(S)	Preclinical	glutamate receptor agonist	GRIN1
ampalex	Phase 2	glutamate receptor agonist	GRIA1|GRIA2|GRIA3|GRIA4
amperozide	Launched	dopamine receptor antagonist	FAAH|HTR2A
amphotericin-b	Launched	membrane permeability enhancer	
ampicillin	Launched	bacterial cell wall synthesis inhibitor	
ampiroxicam	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2
amprenavir	Launched	HIV protease inhibitor	
amprolium	Launched	thiamine uptake blocker	
ampyrone	Preclinical	cyclooxygenase inhibitor	
amrinone	Launched	phosphodiesterase inhibitor	PDE3A|PDE3B|PDE4B|TNF
amrubicin	Launched	topoisomerase inhibitor	TOP2A|TOP2B
amsacrine	Launched	topoisomerase inhibitor	KCNH2|TOP2A
amthamine	Preclinical	histamine receptor agonist	HRH2
amtolmetin-guacil	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2
amuvatinib	Phase 2	FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAD51 inhibitor|RET tyrosine kinase inhibitor	KIT|MET
amygdalin	Phase 2	caspase activator	CASP3
amyl-nitrite	Preclinical	atrial natriuretic peptide receptor agonist	NPR1
amyleine	Preclinical	local anesthetic	
amylene-hydrate	Preclinical	local anesthetic	
AMZ30	Preclinical	protein phosphatase inhibitor	
AM679	Preclinical	cannabinoid receptor agonist|lipoxygenase inhibitor	ALOX5AP|CNR1|CNR2
anabasine	Preclinical	acetylcholine receptor agonist	
anacetrapib	Phase 3	cholesteryl ester transfer protein inhibitor	CETP
anagliptin	Launched	dipeptidyl peptidase inhibitor	DPP4
anagrelide	Launched	phosphodiesterase inhibitor	PDE3A
anamorelin	Phase 3	growth hormone secretagogue receptor agonist	GHSR
anandamide	Phase 2	cannabinoid receptor agonist	CACNA1G|CACNA1H|CACNA1I|CNR1|CNR2|GLRA1|GPR18|GPR55|KCNA2|KCNK3|KCNK9|TRPM8|TRPV1
anastrozole	Launched	aromatase inhibitor	CYP19A1
andarine	Phase 1	androgen receptor modulator	AR
andrographolide	Phase 2	tumor necrosis factor production inhibitor	NFKB1
androstenone	Preclinical	steroid	
androsterone	Preclinical	androgen receptor agonist	
anecortave-acetate	Launched	angiogenesis inhibitor	
anethole	Launched	glutathione transferase stimulant	
anethole-trithione	Launched	glutathione transferase stimulant	
anguidine	Phase 2	protein synthesis inhibitor	SLC5A1
anidulafungin	Launched	"fungal 1,3-beta-D-glucan synthase inhibitor"	
aniracetam	Launched	glutamate receptor agonist	DRD2|GRIA1|GRIA2|GRIA3|GRIA4|HTR2A
anisindione	Launched	vitamin K antagonist	GGCX
anisodamine	Phase 3	lipid peroxidase inhibitor	ADRA1A
anisomycin	Preclinical	DNA synthesis inhibitor	NHP2L1|RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1
anisotropine	Launched	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3
anlotinib	Phase 2/Phase 3	VEGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor	KDR|PDGFRB
anpirtoline	Phase 1	serotonin receptor agonist	HTR1B
ansamitocin-p-3	Preclinical	apoptosis stimulant	
antagonist-g	Phase 1	neuropeptide receptor antagonist	MAPK8
antazoline	Launched	antihistamine	HRH1
anthralin	Launched	DNA synthesis inhibitor	
anthranilic-acid	Preclinical		
anthraquinone	Preclinical	CDC inhibitor	CDC25B
antimony-potassium	Phase 2		
antimonyl	Phase 1		
antimycin-a	Preclinical	ATP synthase inhibitor	CYCS
antioxine	Launched		
AN2718	Phase 1	leucyl-tRNA synthetase inhibitor	
apabetalone	Phase 3	apolipoprotein expression enhancer	BRD3
apafant	Phase 3	platelet activating factor receptor antagonist	PTAFR
apatinib	Phase 3	RET tyrosine kinase inhibitor	CSK|KDR|KIT|RET
APC-100	Phase 1/Phase 2	anti-inflammatory agent|androgen receptor antagonist	AR
APD597	Phase 1	glucose dependent insulinotropic receptor agonist	GPR119
APD668	Phase 1	glucose dependent insulinotropic receptor agonist	GPR119
aphidicolin	Phase 1	RNA synthesis inhibitor	
API-001	Phase 2	sigma receptor antagonist	SIGMAR1
apigenin	Preclinical	casein kinase inhibitor|cell proliferation inhibitor	AKR1B1|AR|CDK6|CFTR|CYP19A1|CYP1B1|HSD17B1
apixaban	Launched	coagulation factor inhibitor	F10
apocynin	Phase 1	NADPH oxidase inhibitor	NOX4
apoptosis-activator-II	Preclinical	carboxylesterase inhibitor	BCHE|CES1
APR-246	Phase 1/Phase 2	p53 activator	TP53
apraclonidine	Launched	adrenergic receptor agonist	ADRA1A|ADRA2A|ADRA2B|ADRA2C
apramycin	Launched	bacterial 30S ribosomal subunit inhibitor	
apratastat	Phase 2	matrix metalloprotease inhibitor|tumor necrosis factor production inhibitor	ADAM17|MMP1|MMP13|MMP9
