!Source	"The Drug Repurposing Hub, Broad Institute"				
!URL	http://www.broadinstitute.org/repurposing				
!File_date	3/24/2020				
!Table_name	drug information				
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.				
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.				
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.				
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."				
!Contact	repurposing@broadinstitute.org				
pert_iname	clinical_phase	moa	target	disease_area	indication
A-803467	Preclinical	sodium channel blocker	SCN10A		
A-804598	Preclinical	purinergic receptor antagonist	P2RX7		
A-839977	Preclinical	purinergic receptor antagonist	P2RX7		
A-867744	Preclinical	acetylcholine receptor allosteric modulator	CHRNA3|CHRNA4|CHRNA7		
A-887826	Preclinical	sodium channel blocker	SCN10A		
A-922500	Preclinical	diacylglycerol O acyltransferase inhibitor	DGAT1		
A-939572	Preclinical	stearoyl-CoA desaturase inhibitor	SCD		
A-967079	Preclinical	transient receptor potential channel antagonist	TRPA1		
A-987306	Preclinical	histamine receptor antagonist	ADORA1|AVPR1A|CCR1|CHRM1|CHRM2|CHRM3|CHRM4|DRD3|HTR1A|HTR1B|HTR2A|HTR2B|HTR3A|TACR2		
AA-29504	Preclinical	GABA receptor positive allosteric modulator	GABRA1|GABRA4|GABRB3		
AAI101	Phase 3	lactamase inhibitor			
AB-423	Preclinical	HBV capsid assembly inhibitor			
abacavir	Launched	nucleoside reverse transcriptase inhibitor		infectious disease	human immunodeficiency virus (HIV-1)
abafungin	Phase 3	sterol methyltransferase inhibitor			
abamectin	Launched	benzodiazepine receptor agonist	GABBR1|GABBR2	infectious disease	gastrointestinal parasites
abametapir	Phase 3	metalloproteinase inhibitor	MMP9		
abarelix	Phase 3	gonadotropin releasing factor hormone receptor antagonist	GNRHR		
ABBV-744	Phase 1	bromodomain inhibitor			
ABC-294640	Phase 2	sphingosine kinase inhibitor	SPHK2		
abemaciclib	Launched	CDK inhibitor	CDK4|CDK6	oncology	breast cancer
abiraterone	Launched	androgen biosynthesis inhibitor	CYP11B1|CYP17A1	oncology	prostate cancer
abiraterone-acetate	Launched	androgen biosynthesis inhibitor	CYP17A1	oncology	prostate cancer
ABT-072	Phase 2	RNA polymerase inhibitor			
ABT-202	Phase 1	acetylcholine receptor agonist			
ABT-239	Phase 1	histamine receptor antagonist	HRH1|HRH2|HRH3		
ABT-491	Phase 1	platelet activating factor receptor antagonist	PTAFR		
ABT-639	Phase 2	calcium channel blocker	CACNA1G|CACNA1H|CACNA1I		
ABT-702	Preclinical	adenosine kinase inhibitor	ADK		
ABT-724	Phase 2	dopamine receptor agonist	DRD4		
ABT-737	Phase 1/Phase 2	BCL inhibitor	BCL2|BCL2L1|BCL2L2		
ABT-751	Phase 2	tubulin polymerization inhibitor	TUBB		
ABX-1431	Phase 2	monoacylglycerol lipase inhibitor			
ABX464	Phase 2	antiviral			
AC-186	Preclinical	estrogen receptor agonist	ESR2		
AC-261066	Preclinical	retinoid receptor agonist	RARB		
AC-264613	Preclinical	PAR agonist	F2RL1		
AC-55541	Preclinical	PARP inhibitor	PARP2		
AC-55649	Preclinical	retinoid receptor agonist	RARA|RARB		
AC-710	Preclinical	PDGFR tyrosine kinase receptor inhibitor	CSF1R|FLT3|KIT|PDGFRA|PDGFRB		
AC-7954-(+/-)	Preclinical	urotensin receptor agonist	UTS2R		
acadesine	Phase 3	AMPK activator			
acalabrutinib	Launched	Bruton's tyrosine kinase (BTK) inhibitor	BTK	hematologic malignancy	mantle cell lymphoma (MCL)
acalisib	Phase 1	PI3K inhibitor	PIK3CB|PIK3CD		
acamprosate	Launched	glutamate receptor antagonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|GRM5	neurology/psychiatry	abstinence from alcohol
acarbose	Launched	glucosidase inhibitor	AMY2A|MGAM	endocrinology	diabetes mellitus
ACDPP	Preclinical	glutamate receptor antagonist	GRM5		
acebilustat	Phase 2	leukotriene inhibitor			
acebutolol	Launched	adrenergic receptor antagonist	ADRB1	cardiology	hypertension|ventricular arrhythmias
acecainide	Phase 3	polarization inhibitor	SCN5A		
aceclidine	Launched	acetylcholine receptor agonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5	ophthalmology	glaucoma
aceclofenac	Launched	prostanoid receptor antagonist	PTGS2	rheumatology	rheumatoid arthritis|ankylosing spondylitis|osteoarthritis|periarthritis|lumbago|ischiadynia
acedapsone	Launched			infectious disease	leprosy
acedoben	Phase 2				
acefylline	Launched	adenosine receptor agonist	ADORA1	pulmonary	asthma
aceglutamide	Launched			gastroenterology	peptic ulcer disease (PUD)
acelarin	Phase 2/Phase 3	anticancer agent			
acemetacin	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2	rheumatology	osteoarthritis
aceneuramic-acid	Phase 3		CES1|SELE|SELP		
acenocoumarol	Launched	vitamin K antagonist	VKORC1	hematology	deep vein thrombosis (DVT)
acepromazine	Launched	dopamine receptor antagonist	ADRA1A|ADRA1B|DRD1|DRD2|HTR1A|HTR2A	neurology/psychiatry	sedative
acesulfame-potassium	Phase 3				
acetanilide	Preclinical	hydrogen peroxide decomposition inhibitor			
acetarsol	Launched			gastroenterology	diarrhea
acetazolamide	Launched	carbonic anhydrase inhibitor	AQP1|CA1|CA12|CA14|CA2|CA3|CA4|CA7	ophthalmology	glaucoma
acetohexamide	Launched	ATP channel blocker	ABCC8|KCNJ1|KCNJ10|KCNJ11	endocrinology	diabetes mellitus
acetohydroxamic-acid	Launched	urease inhibitor	MMP12	infectious disease	urinary tract infections
acetophenazine	Launched	dopamine receptor antagonist	DRD1|DRD2	neurology/psychiatry	psychosis
acetriazoic-acid	Preclinical				
acetyl-farnesyl-cysteine	Launched	methyltransferase inhibitor	PPARG	dermatology	acne vulgaris (AV)
acetyl-l-leucine	Launched			neurology/psychiatry	vertigo
acetyl-11-keto-beta-boswellic-acid	Phase 2	lipoxygenase inhibitor	HSD11B1|HSD11B2		
acetylcholine	Launched	acetylcholine receptor agonist	ACHE|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CHRNA2	neurology/psychiatry|gastroenterology|pulmonary	drowsiness|fatigue|headache|indigestion|chest congestion
acetylcysteine	Launched	mucolytic agent	ACY1|CHUK|GRIN1|GRIN2A|GRIN2B|GRIN2D|GRIN3A|GSS|IKBKB|RELA|SLC7A11	gastroenterology	acetaminophen overdose|hepatic injury
acetylsalicylsalicylic-acid	Preclinical	cyclooxygenase inhibitor			
acetylspiramycin	Preclinical	other antibiotic			
acexamic-acid	Launched	5 alpha reductase inhibitor	GAST	dermatology	wound healing
acifran	Phase 3	cholesterol inhibitor	HCAR2|HCAR3		
acipimox	Launched	cholesterol inhibitor	HCAR2	endocrinology	hyperlipidemia
acitazanolast	Launched	mediator release inhibitor		allergy	allergic rhinitis
acitretin	Launched	retinoid receptor agonist	RARA|RARB|RARG|RBP1|RXRA|RXRB|RXRG|STAT3	dermatology	psoriasis
acivicin	Phase 2	gamma glutamyltransferase inhibitor	CTPS1		
aclarubicin	Launched	topoisomerase inhibitor	TOP1|TOP2A	hematologic malignancy	acute myeloid leukemia (AML)
aclidinium	Launched	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5	pulmonary	bronchitis|emphysema|chronic obstructive pulmonary disease (COPD)
acolbifene	Phase 3	estrogen receptor antagonist			
acoziborole	Preclinical	antitrypanosomal			
ACPC	Phase 1	glutamate receptor antagonist			
acriflavine	Launched	hypoxia inducible factor inhibitor	HIF1A	infectious disease	fungal infection
acriflavinium	Launched	hypoxia inducible factor inhibitor	HIF1A	infectious disease	fungal infection
acrisorcin	Launched	other antifungal		infectious disease	fungal infection
acrivastine	Launched	histamine receptor antagonist	HRH1	allergy	allergic rhinitis
acrylate	Phase 3	mucus protecting agent			
ACT-132577	Launched	endothelin receptor antagonist	EDNRA|EDNRB	pulmonary	pulmonary arterial hypertension (PAH)
ACT-462206	Phase 1	orexin receptor antagonist	HCRTR1|HCRTR2		
actarit	Launched	interleukin receptor agonist		rheumatology	rheumatoid arthritis
ACTB-1003	Phase 1	FGFR inhibitor|VEGFR inhibitor	KDR|TEK		
actinomycin-d	Launched	RNA polymerase inhibitor		oncology	Wilm's tumor|Ewing's sarcoma|rhabdomyosarcoma|testicular carcinoma
actinoquinol	Preclinical				
acumapimod	Phase 1	p38 MAPK inhibitor			
ACY-1215	Phase 1/Phase 2	HDAC inhibitor	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8		
acyclovir	Launched	DNA polymerase inhibitor	PNP	infectious disease	genitial herpes|shingles|chicken pox
AC1NDSS5	Phase 1				
AC260584	Preclinical	cholinergic receptor agonist			
AD-5467	Phase 2	aldose reductase inhibitor	AKR1B1		
adapalene	Launched	retinoid receptor agonist	RARA|RARB|RARG|RXRA|RXRB|RXRG	dermatology	acne vulgaris (AV)
adaprev	Phase 3	TGF beta receptor inhibitor	AKR1B1|GPI|HK1|M6PR|PYGM		
adaptavir	Phase 2	CC chemokine receptor antagonist	CCR5		
adarotene	Phase 1	retinoid receptor agonist	RARB|RARG		
adatanserin	Phase 2	serotonin receptor agonist|serotonin receptor antagonist	HTR1A|HTR2A		
adavivint	Phase 1	WNT pathway inhibitor			
ADD-233089	Phase 1	benzodiazepine receptor agonist			
adefovir	Launched	DNA polymerase inhibitor		infectious disease	hepatitis B
adefovir-dipivoxil	Launched	DNA polymerase inhibitor		infectious disease	hepatitis B
adelmidrol	Launched	anti-inflammatory agent		dermatology	dermatitis
ademetionine	Launched	methyltransferase stimulant|phosphodiesterase inhibitor		neurology/psychiatry	depression|attention-deficit/hyperactivity disorder (ADHD)
adenine	Preclinical	protein synthesis stimulant	ACACB|ACP1|APRT|MTAP|PECR|SRPK2		
adenosine	Launched	adenosine receptor agonist	ADORA1|ADORA2A|ADORA2B|ADORA3|PI4K2A|PI4K2B|TRPM4	cardiology	Wolff-Parkinson-White Syndrome (WPW)
adenosine-phosphate	Launched	adenosine receptor agonist	ACSL1|ACSS1|ACSS2|ADCY1|ADK|CREB1|FBP1|HINT1|PDE4B|PDE4D|PIM1|PRKAA1|PRKAB1|PRKAB2|PYGL|TRPM4		
adenosine-triphosphate	Phase 2	adenosine receptor agonist	ABCA1|ABCB1|ABCB11|ABCC2|ABCC8|ABCC9|ABCG1|ABL1|ABL2|ACSL1|ACSS1|ACSS2|ACVR1|ACVR1B|ACVRL1|ADCY1|ADRBK1|ADRBK2|AFG3L2|AKT1|ALK|AMHR2|APAF1|ARAF|ASNA1|ASNS|ASS1|CDK15|GPR17|ITPR1|NAE1|NT5C2|P2RY1|P2RY11|P2RY13|P2RY2|P2RY4|PRKAA1|RYR1|RYR2|RYR3|SLC25A4|TNK2|TRPM4|TRPM7		
adiphenine	Launched	acetylcholine receptor antagonist	CHRNA1	neurology/psychiatry	spasms
adipic-acid	Preclinical	solute carrier family member inhibitor	SLC22A6		
adiporon	Preclinical	adiponectin receptor agonist	ADIPOR1|ADIPOR2		
ADL5859	Phase 2	opioid receptor agonist	OPRD1		
adomeglivant	Preclinical	glucagon receptor antagonist			
adoprazine	Phase 2	dopamine receptor antagonist|serotonin receptor agonist	DRD2|HTR1A		
adrafinil	Launched	adrenergic receptor agonist		neurology/psychiatry	fatigue
adrenalone	Launched	adrenergic receptor agonist	ADRA1A	hematology	hemorrhage
adrenosterone	Preclinical	11-beta hydroxysteroid dehydrogenase inhibitor	HSD11B1|HSD11B2		
ADX-10059	Phase 2	glutamate receptor negative allosteric modulator	GRM5		
ADX-47273	Preclinical	glutamate receptor modulator	GRM5		
AEE788	Phase 1/Phase 2	EGFR inhibitor|VEGFR inhibitor	EGFR|ERBB2|ERBB4|FGFR2|FGFR3|KDR		
AEG3482	Preclinical	HSP inducer			
afalanine	Phase 3	dopamine receptor agonist	DRD2		
afamelanotide	Launched	melanocyte-stimulating hormone mimetic			
afatinib	Launched	EGFR inhibitor	EGFR|ERBB2|ERBB4	oncology	non-small cell lung cancer (NSCLC)
afimoxifene	Phase 2	estrogen receptor antagonist	ESR1|ESR2|ESRRG|PLD1|PRKCD|PRKCE|PRKCQ|PRKCZ		
afloqualone	Launched	acetylcholine receptor antagonist		neurology/psychiatry	sedative
AFN-1252	Phase 2	FABI inhibitor			
afobazole	Launched	anxiolytic		neurology/psychiatry	anxiety
AF38469	Preclinical	sortilin inhibitor	SORT1		
AG-1024	Preclinical	insulin growth factor receptor inhibitor	IGF1R		
AG-14361	Preclinical	PARP inhibitor	PARP1		
AG-490	Preclinical	EGFR inhibitor|JAK inhibitor	EGFR|JAK2|JAK3		
AG-555	Preclinical	tyrosine kinase inhibitor	CDK2		
AG-556	Preclinical	tyrosine kinase inhibitor			
AGI-5198	Preclinical	isocitrate dehydrogenase inhibitor	IDH1		
AGI-6780	Preclinical	isocitrate dehydrogenase inhibitor	IDH2		
AGM-1470	Phase 2	cell cycle inhibitor	METAP2		
agmatine	Phase 3	nitric oxide synthase inhibitor	ADRA2C|ASIC3|CACNA1B|CHRNA1|GRIN1|KCNJ1|NISCH		
AGN-192403	Preclinical	imidazoline receptor ligand	NISCH		
AGN-194310	Phase 3	retinoid receptor antagonist	RXRA|RXRB|RXRG		
AGN-195183	Phase 1/Phase 2	retinoid receptor agonist	RARA		
agomelatine	Launched	melatonin receptor agonist|serotonin receptor antagonist	HTR2A|HTR2B|HTR2C|MTNR1A|MTNR1B	neurology/psychiatry	depression
AGP-103	Launched	membrane permeability inhibitor			
AH-7614	Preclinical	free fatty acid receptor antagonist	FFAR4		
AH11110	Preclinical	adrenergic receptor ligand	ADRA1B		
AH6809	Preclinical	prostanoid receptor antagonist	PTGDR|PTGER1|PTGER2|PTGER3		
AI-10-49	Preclinical	core binding factor inhibitor	CBFB		
AIM-100	Preclinical	tyrosine kinase inhibitor	TNK2		
ajmaline	Launched	sodium channel blocker		cardiology	Wolff-Parkinson-White Syndrome (WPW)
AJ76-(+)	Preclinical	dopamine receptor antagonist	DRD2|DRD3|DRD4		
AK-7	Preclinical	SIRT inhibitor	SIRT2		
AKBA	Phase 3	lipoxygenase inhibitor	ALOX5		
aklomide	Launched			infectious disease	coccidiosis
AL-8697	Preclinical	p38 MAPK inhibitor	MAPK14		
alacepril	Launched	angiotensin converting enzyme inhibitor	ACE	cardiology	hypertension
alafosfalin	Phase 1	bacterial cell wall synthesis inhibitor			
alagebrium	Phase 2/Phase 3	glycosylation inhibitor			
alanine	Launched				
alanosine	Phase 2	antimetabolite			
alantolactone	Preclinical	apoptosis stimulant|STAT inhibitor	STAT3		
alaproclate	Phase 2	serotonin receptor antagonist	SLC6A4		
alarelin	Launched	gonadotropin releasing factor hormone receptor antagonist	GNRH1		
albendazole	Launched	tubulin polymerization inhibitor	TUBA1A|TUBB|TUBB4B	infectious disease	cystic hydatid disease|parenchymal neurocysticercosis
albendazole-oxide	Launched	anthelmintic agent		infectious disease	cystic hydatid disease|parenchymal neurocysticercosis
albuterol	Launched	adrenergic receptor agonist	ADRB2	pulmonary	asthma
alcaftadine	Launched	histamine receptor antagonist	HRH1	allergy	allergic conjunctivitis
alclofenac	Launched	cyclooxygenase inhibitor	PTGS1	rheumatology	rheumatoid arthritis
alclometasone-dipropionate	Launched	glucocorticoid receptor agonist	CYP3A4|NR3C1|SERPINA6	dermatology	corticosteroid-responsive dermatoses
alcuronium	Launched	muscle relaxant	CHRM1|CHRM2|CHRM3|CHRM4|CHRNA7	neurology/psychiatry	muscle relaxant
alda-1	Preclinical	aldehyde dehydrogenase activator	ALDH2		
aldoxorubicin	Phase 3	topoisomerase inhibitor	TOP2A		
alectinib	Launched	ALK tyrosine kinase receptor inhibitor	ALK|MET	oncology	non-small cell lung cancer (NSCLC)
alendronate	Launched	bone resorption inhibitor	ATP6V1A|FDPS|PTPN4|PTPRE|PTPRS	orthopedics	osteoporosis
alexidine	Preclinical	phosphatidylglycerophosphatase inhibitor	PTPMT1		
alfacalcidol	Launched	vitamin D receptor agonist	CYP27B1|VDR	endocrinology	vitamin D deficiency
alfadolone-acetate	Phase 2	benzodiazepine receptor agonist			
alfuzosin	Launched	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	urology	benign prostatic hyperplasia (BPH)
algestone-acetophenide	Launched			endocrinology	contraceptive
alibendol	Launched	antispasmodic		gastroenterology	bile stimulation
alimemazine	Launched	histamine receptor agonist|histamine receptor antagonist	HRH1	neurology/psychiatry|allergy|pulmonary	sedative|urticaria|itching|cough suppressant
alinidine	Phase 3	bradycardic effect 			
alisertib	Phase 3	Aurora kinase inhibitor	AURKA		
aliskiren-hemifumarate	Launched	renin inhibitor	REN	cardiology	hypertension
alisporivir	Phase 3	cyclophilin inhibitor			
alizapride	Launched	dopamine receptor antagonist		gastroenterology	nausea
alizarin	Preclinical				
allantoin	Launched	cosmetic		dermatology	skin protectant
allicin	Phase 2	cytokine production inhibitor	TRPA1|TRPV1		
allopurinol	Launched	xanthine oxidase inhibitor	XDH	rheumatology|urology	gout|kidney stones
allopurinol-riboside	Phase 2	anti-leishmanial agent|phosphorylase inhibitor			
allylestrenol	Launched	steroidal progestin	ESR1|PGR|SLC6A9	obstetrics/gynecology	premature labor
allylisothiocyanate	Preclinical	TRPV agonist	TRPA1		
allylthiourea	Preclinical	nitrification inhibitor			
almitrine	Launched	neurotransmitter agonist	ATP1A1	pulmonary	chronic obstructive pulmonary disease (COPD)
almorexant	Phase 3	orexin receptor antagonist	HCRTR1|HCRTR2		
almotriptan	Launched	serotonin receptor agonist	HTR1B|HTR1D	neurology/psychiatry	migraine headache
aloe-emodin	Preclinical	anticancer agent	CASP8		
alogliptin	Launched	dipeptidyl peptidase inhibitor	DPP4	endocrinology	diabetes mellitus
aloin	Preclinical	angiogenesis inhibitor			
aloperine	Preclinical				
alosetron	Withdrawn	serotonin receptor antagonist	HTR3A		
alovudine	Phase 2	DNA synthesis marker			
aloxistatin	Phase 3	protease inhibitor	CTSG		
alpelisib	Launched	PI3K inhibitor	PIK3CA|PIK3CB|PIK3CD|PIK3CG	oncology	breast cancer
alpha-asarone	Preclinical	cytochrome P450 inhibitor|HMGCR inhibitor	HMGCR		
alpha-D-glucopyranose	Preclinical				
alpha-glucosyl-hesperidin	Preclinical	antioxidant			
alpha-linolenic-acid	Phase 3	omega 3 fatty acid stimulant	ELOVL4|FADS1|FADS2|FFAR1|FFAR4|PTGS2|SLC8A1|TRPV1		
alpha-methylhistamine-dihydrobromide-(R)-(-)	Preclinical	histamine receptor agonist	HRH3		
alpha-methylhistamine-dihydrobromide-(S)-(+)	Preclinical	histamine receptor agonist	HRH3		
alpha-methylserotonin	Preclinical	serotonin receptor agonist	HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR4		
alpha-tochopherol	Launched	antioxidant		endocrinology	vitamin E deficiency
alpha-tochopheryl-acetate	Launched	antioxidant		endocrinology	vitamin E deficiency
alpidem	Withdrawn	benzodiazepine receptor agonist	GABRA1		
alprenolol	Launched	adrenergic receptor antagonist	ADRB1|ADRB2	cardiology	angina pectoris
alprostadil	Launched	prostanoid receptor agonist	CATSPER1|CATSPER2|CATSPER3|CATSPER4|PTGDR|PTGER1|PTGER2|PTGER4|PTGIR	cardiology	congenital heart defects
alrestatin	Preclinical	aldose reductase inhibitor	AKR1B1		
ALS-8112	Phase 1				
ALS-8176	Phase 1	RNA polymerase inhibitor			
altanserin	Phase 2	serotonin receptor antagonist	HTR2A		
althiazide	Launched	diuretic		cardiology	hypertension
altinicline	Phase 2	nicotinic receptor agonist	CHRNA4|CHRNB2		
altiratinib	Phase 1	MET inhibitor|VEGFR inhibitor	KDR|MET|TEK		
altrenogest	Launched	progestogen hormone	PGR	endocrinology	estrus
altretamine	Launched	DNA synthesis inhibitor		oncology	ovarian cancer
alverine	Launched	muscle relaxant	HTR1A	gastroenterology	irritable bowel syndrome|diverticular disease
alvespimycin	Phase 2	HSP inhibitor	HSP90AA1		
alvimopan	Launched	opioid receptor antagonist	OPRD1|OPRK1|OPRM1	gastroenterology	postoperative ileus
alvocidib	Phase 2	CDK inhibitor	CDK1|CDK2|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|EGFR|PYGM		
ALX-40-4C	Preclinical	CC chemokine receptor antagonist			
ALX-5407	Phase 1	glycine transporter inhibitor	SLC6A9		
AM-1241	Preclinical	cannabinoid receptor agonist	CNR1|CNR2		
AM-24	Phase 2	lipoxygenase inhibitor	ALOX5		
AM-251	Preclinical	cannabinoid receptor antagonist	CNR1|GPR18|GPR55		
AM-281	Preclinical	cannabinoid receptor antagonist	CNR1|CNR2|GPR55		
AM-404	Preclinical	cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist	CNR1|CNR2|FAAH|TRPV1		
AM-580	Preclinical	retinoid receptor agonist	RARA		
AM-630	Preclinical	cannabinoid receptor antagonist	CNR1|CNR2		
AM-92016	Preclinical	potassium channel blocker	GRIN1		
amantadine	Launched	glutamate receptor antagonist	DRD2|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A	infectious disease|neurology/psychiatry	influenza A virus infection|Parkinson's Disease
ambazone	Phase 1	DNA damage inducer			
ambenonium	Launched	cholinesterase inhibitor	ACHE	neurology/psychiatry	myasthenia gravis
ambrisentan	Launched	endothelin receptor antagonist	EDNRA|EDNRB	pulmonary	pulmonary arterial hypertension (PAH)
ambroxol	Launched	sodium channel blocker	CYP3A4	pulmonary	bronchitis
amcasertib	Phase 2	kinase inhibitor			
amcinonide	Launched	glucocorticoid receptor agonist	NR3C1	dermatology	corticosteroid-responsive dermatoses
AMD-3465	Preclinical	CC chemokine receptor antagonist	CXCR4		
amdinocillin	Launched	bacterial cell wall synthesis inhibitor		infectious disease	urinary tract infections|gram-negative bacterial infections
AMD11070	Phase 3	CC chemokine receptor antagonist	CCR5|CXCR4		
ameltolide	Preclinical	anticonvulsant			
amenamevir	Phase 1	helicase primase inhibitor			
ametantrone	Preclinical	anticancer agent			
amezinium	Launched	adrenergic receptor agonist	ADRB2	cardiology	hypotension
amfenac	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2	neurology/psychiatry	pain relief
amflutizole	Phase 2	xanthine oxidase inhibitor	XDH		
AMG-PERK-44	Preclinical	PERK inhibitor	EIF2AK4		
AMG-176	Phase 1	MCL1 inhibitor			
AMG-208	Phase 1	tyrosine kinase inhibitor	MET		
AMG-232	Phase 2	MDM inhibitor	MDM2		
AMG-319	Phase 2	PI3K inhibitor	PIK3CD		
AMG-337	Phase 2	MET inhibitor	MET		
AMG-487	Phase 2	CC chemokine receptor antagonist			
AMG-487-(+/-)	Phase 2	CC chemokine receptor antagonist	CXCR3		
AMG-510	Phase 1/Phase 2	K-Ras inhibitor			
AMG-517	Phase 1	TRPV antagonist	TRPV1		
AMG-548	Phase 1	MAP kinase inhibitor	MAPK11|MAPK12|MAPK13|MAPK14		
AMG-837	Phase 1	free fatty acid receptor agonist	FFAR1		
AMG-925	Phase 1	CDK inhibitor|FLT3 inhibitor	CDK4|CDK6|FLT3		
AMG-9810	Preclinical	TRPV antagonist	TRPV1		
AMG319	Phase 2	PI3K inhibitor	PIK3CD		
AMG458	Preclinical	MET inhibitor	MET		
AMG900	Phase 1	Aurora kinase inhibitor	AURKA|AURKB|AURKC		
AMI-1	Preclinical	protein arginine N-methyltransferase inhibitor	PRMT1		
amibegron	Phase 3	adrenergic receptor agonist	ADRB3		
amidopyrine	Launched	analgesic agent		dermatology	dermatitis herpetiformis (DH)
amifampridine	Launched	potassium channel blocker		neurology/psychiatry	Lambert-Eaton myasthenic syndrome (LEMS)
amiflamine	Phase 1	monoamine oxidase inhibitor	MAOA|SLC6A2		
amifostine	Launched	reducing agent	ALPPL2|ENPP1	nephrology	renal toxicity
amikacin	Launched	bacterial 30S ribosomal subunit inhibitor		infectious disease	gram-negative bacterial infections
amiloride	Launched	sodium channel blocker	AOC1|ASIC1|ASIC2|ASIC3|PKD2|PKD2L1|PLAU|SCNN1A|SCNN1B|SCNN1D|SCNN1G|SLC9A1|TRPC7|TRPV2	cardiology	hypertension|congestive heart failure
amineptine	Withdrawn	dopamine receptor agonist	SLC6A2|SLC6A4		
aminocaproic-acid	Launched	plasminogen activator inhibitor	LPA|PLAT|PLG	hematology	fibrinolytic bleeding
aminoglutethimide	Launched	glucocorticoid receptor antagonist	CYP11A1|CYP19A1	endocrinology|oncology	Cushing's syndrome|breast cancer
aminoguanidine	Phase 3	nitric oxide synthase inhibitor	AKR1B1|NOS2|TIMP3		
aminohydroxybutyric-acid	Launched			neurology/psychiatry	epilepsy
aminolevulinic-acid-benzyl-ester	Phase 1				
aminomethyltransferase	Preclinical	nitric oxide synthase inhibitor	NOS2		
